station_id,icao,overlap_days,mean_bias_f,mae_f,rmse_f,corr
USW00003810,KGSP,10259.0,1.7753582220489321,2.493014913734282,3.433554442663177,0.9827666904484262
USW00003811,KANB,10218.0,2.6443061264435306,5.02062243100411,7.303616330907696,0.9248673671621531
USW00003812,KBHM,10269.0,6.651407147726165,7.044267211997272,8.418804888018611,0.9411323298591405
USW00003813,KMGE,10254.0,-5.052022625316949,5.348078798517652,6.321403100280168,0.9658049947755352
USW00003816,KTRI,10270.0,-1.133345666991237,5.970373904576436,7.740058787193499,0.9115663558159642
USW00003818,KGAD,9307.0,-7.100193402815085,7.6400451273235195,9.799904063401588,0.9013372094061955
USW00003820,KGMU,10251.0,-5.032381231099405,5.361730562871916,6.5178581453157065,0.9601708669693777
USW00003822,KSAV,10271.0,-0.574092103982086,0.9844046344075559,1.6458453193739775,0.9929669284069397
USW00003849,KTOC,4939.0,6.3832435715731926,7.798461226969022,10.045895748057827,0.8948358606981363
USW00003856,KFTY,10264.0,-0.04610872954014081,3.714885035074045,5.1503774124094255,0.9521003869629422
USW00003870,KAND,10258.0,0.36371807369857634,1.714285435757458,2.5176240319458416,0.9868810074978327
USW00013838,KABY,10195.0,0.9410299166257964,3.6214340362922997,4.7426851634995195,0.9335437127464744
USW00013840,KDNL,387.0,11.874366925064598,13.035813953488374,16.071845574016656,0.8780771693096435
USW00013865,KPNS,10254.0,0.3429412912034323,4.471769065730447,5.950643362423957,0.9190496559061238
USW00013870,KWRB,10209.0,-2.051072583014988,3.078871583896562,4.281491606797482,0.9619179688257783
USW00013873,KFFC,10239.0,-0.6918663932024617,2.5804297294657683,3.554856281751019,0.9742840185970387
USW00013874,KATL,10271.0,-0.35172037776263304,0.9907584461104084,1.6221774510211575,0.9945211919006782
USW00013876,KMCN,10265.0,2.056496833901607,4.00298684851437,5.51083564428256,0.9412833706756771
USW00013877,KLGC,9041.0,6.114204180953434,7.087538989049883,8.950701906372815,0.9243907087969976
USW00013878,KDHN,9874.0,1.108490986429005,4.159894672878266,5.312187202482147,0.9161447951809436
USW00013880,KCHS,10271.0,-0.6044903125304261,0.969494693798073,1.5535063778469338,0.9940742228659759
USW00013881,KCLT,10271.0,-0.2505325674228414,1.146663421283225,2.481441606937751,0.9872755193910111
USW00013882,KCHA,10271.0,-0.32676857170674767,0.9906610846071472,1.6784454607279626,0.9950161412688721
USW00013883,KCAE,10271.0,-0.41030668873527465,0.9539188005062806,1.618072513920719,0.9946742953143247
USW00013886,KMSL,9640.0,0.7686286307053938,4.789898340248962,6.3443150852093515,0.9192804208995845
USW00013889,KJAX,10271.0,-0.6103027942751441,0.9578405218576581,1.4895179139594905,0.9931000907657492
USW00013891,KTYS,10271.0,-0.3034465972154614,0.9969175348067382,1.7429143309714445,0.994861218102404
USW00013893,KTCL,10252.0,2.8940694498634407,4.732450253609052,6.887961842075295,0.9355087066122949
USW00013895,KMGM,10260.0,-0.4635925925925931,1.0140370370370377,1.8071748815849507,0.9926389015680118
USW00013897,KBNA,10271.0,-0.14964657774316079,1.2649654366663428,2.465158250316656,0.9903138672087678
USW00013899,KTUP,10269.0,-4.119933781283475,6.127634628493524,8.189228583753279,0.9065572418125917
USW00013957,KMEI,10259.0,-1.3291178477434453,4.8953094843552005,6.499873088805806,0.912443972793853
USW00013966,KHKS,9306.0,-0.5090328820116058,7.813563292499463,10.194935787453222,0.8314480325633828
USW00014839,KTLH,10271.0,23.04172329860773,23.248036218479214,26.626487087554334,0.7880139644039674
USW00023048,KAVL,9196.0,-7.441787733797304,12.565876468029579,15.17148125873565,0.7026128120058314
USW00053819,KLZU,9085.0,-2.2099240506329116,2.8708332416070452,3.967291342261915,0.9751196323101998
USW00053863,KPDK,10158.0,-0.4441799566843871,1.0289013585351452,1.6637337414956344,0.9947326144484121
USW00053864,KHSV,10249.0,-1.9964094057956883,3.1651907503171044,4.176502193551298,0.973978444118124
USW00053871,KGVL,9730.0,-1.8398088386433713,3.47222816032888,4.529533175876617,0.9634255417449379
USW00093805,KCSG,10241.0,-4.0342329850600525,4.7259935553168635,6.0201373786003405,0.9463994156090781
USW00093842,K6A2,4844.0,-3.8895829892650715,4.505462427745665,6.169895634346527,0.93848119445559
USW00093846,KVLD,10266.0,6.619573348918761,7.333697642704071,9.563661509533185,0.8954042353715695
