model,1,2,3,4,5,6,7,8,9,10,11,12
Climatology,0.07084536998826738,0.06767468406590048,0.07233540354748845,0.07959755062183635,0.07310053323511363,0.05440807492866239,0.04720901303839618,0.04872830164661041,0.05933591165328906,0.06843255745825345,0.07750001091432554,0.07807157745689984
HeteroscedasticNN,0.04966924586675498,0.06369477024748743,0.061842553313557515,0.06597918952195532,0.06352534279865266,0.047009658090261495,0.047709240722875204,0.05084087847356046,0.056173785112748245,0.05851224877152553,0.06146189735303178,0.06367861748981164
Market Proxy (Kalshi),0.06043397204688236,0.0558658430146309,0.0642602444028021,0.0674762526551357,0.06777748805931708,0.04149593216752861,0.036852891811805025,0.04538468054976937,0.05231336482960168,0.059542542996694,0.06930733085954004,0.07183303943833465
NWS MOS (GFS+NAM),0.029221275530520074,0.022071551765997486,0.038305992028185826,0.05544329615908159,0.03411858695063557,0.018017989720091842,0.01906558672417487,0.017606897473571782,0.04069796088332805,0.03535127694700387,0.0335915074595529,0.04629848677814591
Persistence,0.06253620502473765,0.05279196397864924,0.06431328755841242,0.07083306092874307,0.07022987210576895,0.051446669872590306,0.04962643112490367,0.05602605766551951,0.057114217104695574,0.060870484286804645,0.06927331325556084,0.07513578769112976
Ridge (our model),0.04569005713321238,0.05796712808605691,0.06079846516972876,0.06647776696565509,0.0741102403715605,0.03509291644352593,0.035734786934763764,0.04328641678946971,0.05186389465476154,0.05670652125980234,0.06066088297930327,0.06462997104987794
