date,ticker,model_prob,market_prob,outcome,disagreement
2023-05-11,HIGHAUS--23MAY11-T84,0.43070240824397166,0.045,0,0.3857024082439717
2023-05-11,HIGHAUS--23MAY11-B84.5,0.014435625927976314,0.05,0,-0.03556437407202369
2023-05-11,HIGHAUS--23MAY11-B86.5,0.014508752282709592,0.265,0,-0.2504912477172904
2023-05-11,HIGHAUS--23MAY11-B88.5,0.014562697180286632,0.43,1,-0.41543730281971336
2023-05-11,HIGHAUS--23MAY11-B90.5,0.01459724437459814,0.59,0,-0.5754027556254018
2023-05-11,HIGHAUS--23MAY11-T91,0.5111932719904577,0.115,0,0.39619327199045773
2023-05-12,HIGHAUS-23MAY12-T85,0.45745783839569626,0.445,0,0.012457838395696252
2023-05-12,HIGHAUS-23MAY12-B87.5,0.01459328858619896,0.305,1,-0.29040671141380103
2023-05-12,HIGHAUS-23MAY12-T92,0.484172203183567,0.445,0,0.03917220318356701
2023-05-13,HIGHAUS-23MAY13-T83,0.5031273798844882,0.495,0,0.008127379884488195
2023-05-13,HIGHAUS-23MAY13-B82.5,0.014607952130847535,0.29,0,-0.27539204786915245
2023-05-13,HIGHAUS-23MAY13-B80.5,0.014584177619974548,0.305,0,-0.29041582238002545
2023-05-13,HIGHAUS-23MAY13-B78.5,0.014540919149097997,0.29,0,-0.275459080850902
2023-05-13,HIGHAUS-23MAY13-B76.5,0.014478350340000112,0.315,1,-0.3005216496599999
2023-05-13,HIGHAUS-23MAY13-T76,0.4386612208755916,0.51,0,-0.07133877912440839
2023-05-14,HIGHAUS-23MAY14-B75.5,0.014584181458075607,0.28,0,-0.2654158185419244
2023-05-14,HIGHAUS-23MAY14-T75,0.46768215728664536,0.47,0,-0.002317842713354612
2023-05-14,HIGHAUS-23MAY14-B77.5,0.014607953732220291,0.285,0,-0.2703920462677797
2023-05-14,HIGHAUS-23MAY14-B79.5,0.014612146472257503,0.55,0,-0.5353878535277425
2023-05-14,HIGHAUS-23MAY14-B81.5,0.014596742813643315,0.3,0,-0.2854032571863567
2023-05-14,HIGHAUS-23MAY14-T82,0.4739168182371579,0.5,1,-0.026083181762842078
2023-05-15,HIGHAUS-23MAY15-T86,0.506814750663097,0.215,0,0.29181475066309703
2023-05-15,HIGHAUS-23MAY15-B85.5,0.014603797397316542,0.215,0,-0.20039620260268345
2023-05-15,HIGHAUS-23MAY15-B83.5,0.01457509415670516,0.215,1,-0.20042490584329484
2023-05-15,HIGHAUS-23MAY15-B79.5,0.014459538408066075,0.23,0,-0.21554046159193394
2023-05-15,HIGHAUS-23MAY15-T79,0.4350198759328637,0.215,0,0.22001987593286368
2023-05-15,HIGHAUS-23MAY15-B81.5,0.014526943441951545,0.545,0,-0.5304730565580484
2023-05-16,HIGHAUS-23MAY16-B78.5,0.014291389124448328,0.145,0,-0.13070861087555166
2023-05-16,HIGHAUS-23MAY16-B80.5,0.014392589254694499,0.43,0,-0.4156074107453055
2023-05-16,HIGHAUS-23MAY16-B82.5,0.01447507175655921,0.16,0,-0.1455249282434408
2023-05-16,HIGHAUS-23MAY16-B84.5,0.014538507542154855,0.29,1,-0.2754614924578451
2023-05-16,HIGHAUS-23MAY16-T85,0.5329774547324888,0.145,0,0.3879774547324888
2023-05-17,HIGHAUS-23MAY17-B83.5,0.014599679523595588,0.635,0,-0.6204003204764044
2023-05-17,HIGHAUS-23MAY17-B85.5,0.01461268621049272,0.3,0,-0.28538731378950727
2023-05-17,HIGHAUS-23MAY17-B87.5,0.01460609432750426,0.285,1,-0.2703939056724957
2023-05-18,HIGHAUS-23MAY18-T85,0.45006829874205945,0.16,0,0.2900682987420594
2023-05-18,HIGHAUS-23MAY18-T92,0.4916083400557173,0.255,0,0.2366083400557173
2023-05-18,HIGHAUS-23MAY18-B91.5,0.014612894843899105,0.295,0,-0.2803871051561009
2023-05-18,HIGHAUS-23MAY18-B85.5,0.014529275992531232,0.04,0,-0.02547072400746877
2023-05-18,HIGHAUS-23MAY18-B87.5,0.014576640013563957,0.085,0,-0.07042335998643605
2023-05-18,HIGHAUS-23MAY18-B89.5,0.014604550352228962,0.355,1,-0.340395449647771
2023-05-19,HIGHAUS-23MAY19-B93.5,0.014578308873504309,0.255,0,-0.2404216911264957
2023-05-19,HIGHAUS-23MAY19-B87.5,0.014600676768265597,0.305,0,-0.2903993232317344
2023-05-19,HIGHAUS-23MAY19-T87,0.4763526800010999,0.495,0,-0.01864731999890007
2023-05-19,HIGHAUS-23MAY19-B89.5,0.014612809860917453,0.305,1,-0.29038719013908254
2023-05-19,HIGHAUS-23MAY19-B91.5,0.01460534388626078,0.285,0,-0.2703946561137392
2023-05-19,HIGHAUS-23MAY19-T94,0.46525018060995194,0.075,0,0.3902501806099519
2023-05-20,HIGHAUS-23MAY20-T86,0.48890146107775556,0.15,0,0.33890146107775554
2023-05-20,HIGHAUS-23MAY20-B85.5,0.014612288508812743,0.19,0,-0.17538771149118726
2023-05-20,HIGHAUS-23MAY20-B83.5,0.014607575285009278,0.3,1,-0.2853924247149907
2023-05-20,HIGHAUS-23MAY20-B81.5,0.014583284049175582,0.275,0,-0.26041671595082444
2023-05-20,HIGHAUS-23MAY20-B79.5,0.014539512443247471,0.19,0,-0.17546048755675253
2023-05-21,HIGHAUS-23MAY21-B74.5,0.014212135724873454,0.29,1,-0.2757878642751265
2023-05-21,HIGHAUS-23MAY21-B76.5,0.014325830823318952,0.25,0,-0.23567416917668105
2023-05-21,HIGHAUS-23MAY21-B78.5,0.014421073718116129,0.25,0,-0.23557892628188387
2023-05-21,HIGHAUS-23MAY21-B80.5,0.014497485480353678,0.22,0,-0.20550251451964632
2023-05-21,HIGHAUS-23MAY21-T81,0.542863474371174,0.275,0,0.26786347437117397
2023-05-22,HIGHAUS-23MAY22-T90,0.46402401319244113,0.495,0,-0.030975986807558864
2023-05-22,HIGHAUS-23MAY22-B89.5,0.014575140788376517,0.285,0,-0.27042485921162346
2023-05-22,HIGHAUS-23MAY22-B87.5,0.014603820351891117,0.285,0,-0.27039617964810886
2023-05-22,HIGHAUS-23MAY22-T83,0.4775816345862043,0.015,0,0.46258163458620427
2023-05-22,HIGHAUS-23MAY22-B83.5,0.014602454077166205,0.335,0,-0.3203975459228338
2023-05-22,HIGHAUS-23MAY22-B85.5,0.014612937003920745,0.37,1,-0.35538706299607925
2023-05-23,HIGHAUS-23MAY23-B85.5,0.014609138430486668,0.195,0,-0.18039086156951334
2023-05-23,HIGHAUS-23MAY23-T85,0.48358605559063467,0.5,0,-0.016413944409365333
2023-05-23,HIGHAUS-23MAY23-B87.5,0.014611559381716654,0.28,0,-0.26538844061828337
2023-05-23,HIGHAUS-23MAY23-B89.5,0.014594386295955997,0.325,1,-0.310405613704044
2023-05-23,HIGHAUS-23MAY23-B91.5,0.014557688226551235,0.2,0,-0.18544231177344878
2023-05-23,HIGHAUS-23MAY23-T92,0.4580411720746548,0.1,0,0.3580411720746548
2023-05-24,HIGHAUS-23MAY24-B90.5,0.014540791034413858,0.105,0,-0.09045920896558614
2023-05-24,HIGHAUS-23MAY24-B88.5,0.01458409644840808,0.3,0,-0.2854159035515919
2023-05-24,HIGHAUS-23MAY24-T91,0.4531044718455368,0.495,0,-0.04189552815446318
2023-05-24,HIGHAUS-23MAY24-T84,0.48855056182583234,0.5,1,-0.011449438174167659
2023-05-24,HIGHAUS-23MAY24-B84.5,0.01461216061729853,0.15,0,-0.13538783938270146
2023-05-24,HIGHAUS-23MAY24-B86.5,0.014607918228510375,0.325,0,-0.31039208177148964
2023-05-25,HIGHAUS-23MAY25-B83.5,0.014612905597195192,0.07,0,-0.055387094402804815
2023-05-25,HIGHAUS-23MAY25-T83,0.4917222065098448,0.345,0,0.1467222065098448
2023-05-25,HIGHAUS-23MAY25-B85.5,0.014604408388397716,0.2,1,-0.1853955916116023
2023-05-25,HIGHAUS-23MAY25-B87.5,0.014576345903484444,0.265,0,-0.25042365409651557
2023-05-25,HIGHAUS-23MAY25-B89.5,0.014528830917395541,0.245,0,-0.23047116908260445
2023-05-25,HIGHAUS-23MAY25-T90,0.44995530268368233,0.16,0,0.2899553026836823
2023-05-26,HIGHAUS-23MAY26-T92,0.44989739584968824,0.495,0,-0.045102604150311754
2023-05-26,HIGHAUS-23MAY26-B89.5,0.01457619471940974,0.29,0,-0.27542380528059024
2023-05-26,HIGHAUS-23MAY26-B91.5,0.014528602370987742,0.155,0,-0.14047139762901226
2023-05-26,HIGHAUS-23MAY26-T85,0.49178056123953745,0.495,0,-0.003219438760462545
2023-05-26,HIGHAUS-23MAY26-B85.5,0.014612910646548072,0.16,1,-0.14538708935345193
2023-05-26,HIGHAUS-23MAY26-B87.5,0.014604335173828753,0.295,0,-0.28039566482617123
2023-05-27,HIGHAUS-23MAY27-T84,0.4753088959576174,0.075,0,0.40030889595761737
2023-05-27,HIGHAUS-23MAY27-B84.5,0.01459905798697464,0.095,0,-0.08040094201302536
2023-05-27,HIGHAUS-23MAY27-B86.5,0.014612592576029815,0.235,1,-0.22038740742397017
