strategy,total_pnl,max_drawdown,sharpe_ratio,var_5pct,expected_shortfall_5pct,profit_factor,max_win,max_loss,avg_win,avg_loss
S0271_ev0.02_fractional_kelly_kf0.10_fee0.05_mp0.05_br10000,2256.652900220638,205.48679466868998,2.926264493978685,-25.482014215617856,-31.213828419857116,1.547625541904382,47.0,-44.36861852593752,21.618469348004563,-13.510805106362977
S0274_ev0.02_fractional_kelly_kf0.10_fee0.05_mp0.10_br10000,2256.652900220638,205.48679466868998,2.926264493978685,-25.482014215617856,-31.213828419857116,1.547625541904382,47.0,-44.36861852593752,21.618469348004563,-13.510805106362977
S0277_ev0.02_fractional_kelly_kf0.10_fee0.05_mp0.15_br10000,2256.652900220638,205.48679466868998,2.926264493978685,-25.482014215617856,-31.213828419857116,1.547625541904382,47.0,-44.36861852593752,21.618469348004563,-13.510805106362977
S0297_ev0.02_fractional_kelly_kf0.20_fee0.05_mp0.05_br5000,2256.652900220638,205.48679466868998,2.926264493978685,-25.482014215617856,-31.213828419857116,1.547625541904382,47.0,-44.36861852593752,21.618469348004563,-13.510805106362977
S0300_ev0.02_fractional_kelly_kf0.20_fee0.05_mp0.10_br5000,2256.652900220638,205.48679466868998,2.926264493978685,-25.482014215617856,-31.213828419857116,1.547625541904382,47.0,-44.36861852593752,21.618469348004563,-13.510805106362977
S0303_ev0.02_fractional_kelly_kf0.20_fee0.05_mp0.15_br5000,2256.652900220638,205.48679466868998,2.926264493978685,-25.482014215617856,-31.213828419857116,1.547625541904382,47.0,-44.36861852593752,21.618469348004563,-13.510805106362977
S0243_ev0.02_proportional_kf0.10_fee0.05_mp0.05_br5000,2245.965625380757,216.6396132280879,2.865181978430841,-25.482014215617856,-31.213828419857116,1.5315061737282003,47.0,-44.36861852593752,21.937721939377433,-13.854630645034705
S0244_ev0.02_proportional_kf0.10_fee0.05_mp0.05_br10000,2245.965625380757,216.6396132280879,2.865181978430841,-25.482014215617856,-31.213828419857116,1.5315061737282003,47.0,-44.36861852593752,21.937721939377433,-13.854630645034705
S0245_ev0.02_proportional_kf0.10_fee0.05_mp0.05_br25000,2245.965625380757,216.6396132280879,2.865181978430841,-25.482014215617856,-31.213828419857116,1.5315061737282003,47.0,-44.36861852593752,21.937721939377433,-13.854630645034705
S0246_ev0.02_proportional_kf0.10_fee0.05_mp0.10_br5000,2245.965625380757,216.6396132280879,2.865181978430841,-25.482014215617856,-31.213828419857116,1.5315061737282003,47.0,-44.36861852593752,21.937721939377433,-13.854630645034705
