station,model,period,year,season,mean_bias,std_diff,mae_vs_knyc,correlation,ks_statistic,ks_pvalue,n_days,rolling_bias_range,rolling_bias_stability_std
KJFK,GFS,yearly,2005,all,-0.7917808219178082,2.217670879019962,1.8712328767123287,,,,365,,
KJFK,GFS,yearly,2006,all,-1.3232876712328767,2.610130335886431,2.336986301369863,,,,365,,
KJFK,GFS,yearly,2007,all,-1.3452054794520547,2.7116477035377886,2.3534246575342466,,,,365,,
KJFK,GFS,yearly,2008,all,-1.4125683060109289,2.82100836231533,2.4945355191256833,,,,366,,
KJFK,GFS,yearly,2009,all,-1.1424657534246576,2.8442112895143494,2.3917808219178083,,,,365,,
KJFK,GFS,yearly,2010,all,-1.0383561643835617,3.1646497877951405,2.638356164383562,,,,365,,
KJFK,GFS,yearly,2011,all,-1.2931506849315069,2.5994678643486098,2.1424657534246574,,,,365,,
KJFK,GFS,yearly,2012,all,-1.180327868852459,2.9265428482925775,2.3551912568306013,,,,366,,
KJFK,GFS,yearly,2013,all,-0.8164383561643835,2.8423317746537067,2.3232876712328765,,,,365,,
KJFK,GFS,yearly,2014,all,-0.6904109589041096,2.729577734901238,2.186301369863014,,,,365,,
KJFK,GFS,yearly,2015,all,-0.10136986301369863,2.0240649143890366,1.558904109589041,,,,365,,
KJFK,GFS,yearly,2016,all,-0.04371584699453552,2.1627611388439063,1.726775956284153,,,,366,,
KJFK,GFS,yearly,2017,all,-0.18082191780821918,2.560297970202215,1.9835616438356165,,,,365,,
KJFK,GFS,yearly,2018,all,0.06575342465753424,2.5237454275321847,2.032876712328767,,,,365,,
KJFK,GFS,yearly,2019,all,-0.10410958904109589,2.4829328610240045,1.9561643835616438,,,,365,,
KJFK,GFS,yearly,2020,all,-0.30327868852459017,2.398250541354306,1.9371584699453552,,,,366,,
KJFK,GFS,yearly,2021,all,-0.18356164383561643,2.4171442201371325,1.8767123287671232,,,,365,,
KJFK,GFS,yearly,2022,all,-0.13424657534246576,2.676937481468872,2.084931506849315,,,,365,,
KJFK,GFS,yearly,2023,all,-0.3863013698630137,2.5487184383837804,2.03013698630137,,,,365,,
KJFK,GFS,yearly,2024,all,-0.9836065573770492,2.661702843219115,2.2459016393442623,,,,366,,
KJFK,GFS,yearly,2025,all,-0.7150684931506849,2.7587857275168637,2.232876712328767,,,,365,,
KJFK,GFS,yearly,2026,all,-0.7142857142857143,2.2117834574654385,1.8571428571428572,,,,42,,
KJFK,GFS,seasonal,all,DJF,-0.028106508875739646,2.5341669120895736,1.9511834319526626,,,,2028,,
KJFK,GFS,seasonal,all,JJA,-1.148715415019763,2.0047196733950643,1.8483201581027668,,,,2024,,
KJFK,GFS,seasonal,all,MAM,-2.1403162055335967,2.8402994799409935,2.8399209486166006,,,,2024,,
KJFK,GFS,seasonal,all,SON,0.6728271728271729,2.218758538997365,1.8426573426573427,,,,2002,,
KJFK,NAM,overall,all,all,-0.635830943772597,2.515767290647773,1.9670863982047126,0.9900814120268979,0.022690437601296597,0.03217345449593547,8021,1.9369863013698632,0.3342595550203185
KJFK,NAM,yearly,2004,all,-0.8938906752411575,2.3783284942831635,2.012861736334405,,,,311,,
KJFK,NAM,yearly,2005,all,-0.9123287671232877,2.3223676582244437,1.8712328767123287,,,,365,,
KJFK,NAM,yearly,2006,all,-1.0909090909090908,2.49751257469777,2.1542699724517904,,,,363,,
KJFK,NAM,yearly,2007,all,-1.0054794520547945,2.375463541285726,1.9808219178082191,,,,365,,
KJFK,NAM,yearly,2008,all,-0.9398907103825137,2.2735390284863044,1.907103825136612,,,,366,,
KJFK,NAM,yearly,2009,all,-0.1917808219178082,2.5063520086750453,1.917808219178082,,,,365,,
KJFK,NAM,yearly,2010,all,-0.1780821917808219,2.8096305423373273,2.1561643835616437,,,,365,,
KJFK,NAM,yearly,2011,all,-0.19726027397260273,2.297751684353745,1.643835616438356,,,,365,,
KJFK,NAM,yearly,2012,all,-0.48360655737704916,2.6778654550712067,1.9754098360655739,,,,366,,
KJFK,NAM,yearly,2013,all,-0.4876712328767123,2.6432552153308007,2.0876712328767124,,,,365,,
KJFK,NAM,yearly,2014,all,-0.7232876712328767,2.7109120433127942,2.0547945205479454,,,,365,,
KJFK,NAM,yearly,2015,all,-1.1616438356164382,2.870589313131812,2.356164383561644,,,,365,,
KJFK,NAM,yearly,2016,all,-1.1010928961748634,2.9882232604610315,2.3469945355191255,,,,366,,
KJFK,NAM,yearly,2017,all,-0.5342465753424658,2.9616699318437605,2.287671232876712,,,,365,,
KJFK,NAM,yearly,2018,all,-0.5287671232876713,2.574680149347414,1.9698630136986301,,,,365,,
KJFK,NAM,yearly,2019,all,-0.5424657534246575,2.237659553413632,1.7808219178082192,,,,365,,
KJFK,NAM,yearly,2020,all,-0.453551912568306,2.254195712057098,1.7923497267759563,,,,366,,
KJFK,NAM,yearly,2021,all,-0.536986301369863,2.2438871081690888,1.7753424657534247,,,,365,,
KJFK,NAM,yearly,2022,all,-0.473972602739726,2.4002076030437176,1.8657534246575342,,,,365,,
KJFK,NAM,yearly,2023,all,-0.4876712328767123,2.2071278889065,1.715068493150685,,,,365,,
KJFK,NAM,yearly,2024,all,-0.7486338797814208,2.291661069479858,1.8907103825136613,,,,366,,
KJFK,NAM,yearly,2025,all,-0.4547945205479452,2.281377132293149,1.8027397260273972,,,,365,,
KJFK,NAM,yearly,2026,all,0.23809523809523808,1.9230251042781754,1.4285714285714286,,,,42,,
KJFK,NAM,seasonal,all,DJF,-0.07399898631525595,2.5400639803634353,1.9138367967562089,,,,1973,,
KJFK,NAM,seasonal,all,JJA,-0.7722332015810277,1.8868118808237933,1.5657114624505928,,,,2024,,
KJFK,NAM,seasonal,all,MAM,-1.9817193675889329,2.6591064414629138,2.6378458498023716,,,,2024,,
KJFK,NAM,seasonal,all,SON,0.31,2.282433953562774,1.747,,,,2000,,
KEWR,GFS,overall,all,all,1.3654369893538005,1.8214611413077122,1.856152512998267,0.9954040036401316,0.050878930428323844,1.6445013034449987e-09,8078,1.2219178082191782,0.26776440228314474
KEWR,GFS,yearly,2004,all,1.4781420765027322,1.9495873371661032,1.96448087431694,,,,366,,
