date,direction,size,model_prob,market_price,actual_outcome,ev,pnl,bankroll_after
2025-01-01,NO,50,0.3200878742297633,0.7336692070355185,1,0.36598748400183867,-13.316539648224074,9986.683460351776
2025-01-01,YES,50,0.648008351106666,0.2168048266492844,0,0.38584293987991497,-10.84024133246422,9975.843219019313
2025-01-07,NO,50,0.08346016290935343,0.36847222487314557,0,0.22085427336744679,14.923611243657277,9990.76683026297
2025-01-08,NO,50,0.07242745062671885,0.4238143028170891,0,0.2864567737342405,17.690715140854454,10008.457545403824
2025-01-08,YES,50,0.8077666285641287,0.3920100953294427,1,0.35921286923519696,26.899495233527865,10035.357040637351
2025-01-11,YES,50,0.6751984027817142,0.46417762164736825,0,0.16375689293962586,-23.208881082368414,10012.148159554983
2025-01-11,NO,50,0.3062925584100754,0.5221597549225471,1,0.16730767560117688,-23.892012253872647,9988.25614730111
2025-01-12,YES,50,0.7111560894816159,0.4736623544241338,1,0.187712808793769,22.81688227879331,10011.073029579904
2025-01-12,NO,50,0.2680214025348849,0.4940941512904267,0,0.17483424693298377,21.204707564521332,10032.277737144424
2025-01-13,NO,50,0.4116091357234446,0.6823031868287456,0,0.2295066906059421,30.615159341437277,10062.892896485862
2025-01-14,NO,50,0.1279442404088728,0.4105075234324704,0,0.2215193798522186,17.02537617162352,10079.918272657485
2025-01-15,NO,50,0.2506804008262544,0.6072328939200954,0,0.3041001211516787,26.86164469600477,10106.77991735349
2025-01-15,YES,50,0.712574837736076,0.3651950231806049,1,0.2974995759139457,28.240248840969755,10135.02016619446
2025-01-17,NO,50,0.24386536367040457,0.5784481231245331,0,0.2816533349110568,25.422406156226653,10160.442572350687
2025-01-18,YES,50,0.5609926869884992,0.17911707277790895,1,0.34260612612139535,37.54414636110455,10197.98671871179
2025-01-20,YES,50,0.3576480634535448,0.01,0,0.3226126990117966,-0.5,10197.48671871179
2025-01-20,NO,50,0.019649797212350828,0.28061061590140846,0,0.19233630449392214,10.530530795070426,10208.017249506862
2025-01-23,NO,50,0.5205400383713855,0.8058820729522629,0,0.2517798372668743,36.79410364761314,10244.811353154475
2025-01-24,NO,50,0.0642030067227292,0.3084969529691647,0,0.17878815671702653,11.924847648458233,10256.736200802934
2025-01-25,NO,50,0.06101593389871662,0.30659072243913055,0,0.179845903913324,11.82953612195653,10268.565736924891
