station,model,n_overlap,correlation,mean_bias,mae_vs_knyc,rmse_vs_knyc,airport_mae_vs_actual,knyc_mae_vs_actual,skill_difference,bias_stability_std,ks_statistic,ks_pvalue,bias_DJF,bias_MAM,bias_JJA,bias_SON,harm_raw_mae,harm_const_mae,harm_seasonal_mae,harm_monthly_mae,const_offset
KJFK,gfs,8072,0.9894515850502669,-0.6642715559960357,2.121159563924678,2.7292781766812673,3.2559266600594654,2.687898909811695,0.5680277502477704,0.5331375766798105,0.09117938553022795,1.3112288907480425e-29,-0.025717111770524232,-2.1403162055335967,-1.148715415019763,0.6728271728271729,1.9822039698836413,2.0519709105696307,1.9124076010394468,1.879632429724035,-0.7440109514031485
KJFK,nam,8015,0.990065640493937,-0.6376793512164691,1.966687461010605,2.594321742297532,3.416346849656893,2.802378041172801,0.613968808484092,0.383627763817168,0.08820960698689956,1.524291965155092e-27,-0.07981698017285206,-1.9817193675889329,-0.7722332015810277,0.31,1.787132101300479,1.8016406524714283,1.7333052182233877,1.7248514221060436,-0.6837739761534474
KLGA,gfs,8072,0.9942227836513168,0.3673191278493558,1.5209365708622398,1.9821115268961305,2.802021803766105,2.687898909811695,0.11412289395441011,0.39315765285736765,0.06714568880079286,3.053866931201603e-16,0.11671612265084075,-0.6111660079051383,1.0143280632411067,0.9555444555444556,1.5776865160848734,1.5992186303156541,1.540989117915217,1.5359551180634654,0.3177618069815195
KLGA,nam,8015,0.9930139236914527,0.46026200873362444,1.6635059263880225,2.183388770985398,2.992416718652527,2.802378041172801,0.19003867747972558,0.7398985564092759,0.07348721147847785,3.070870692391444e-19,0.3777325876970005,-0.5770750988142292,1.3384387351778657,0.7025,1.4140999315537304,1.5882751670144566,1.6078013923985424,1.6080057623429216,0.7088301365128736
KEWR,gfs,8072,0.9953914583195553,1.36595639246779,1.8570366699702676,2.2770780052127306,3.009449950445986,2.687898909811695,0.32155104063429096,0.2726605045848171,0.18099603567889,6.762603506756987e-116,0.6780415430267063,0.9372529644268774,2.205533596837945,1.6453546453546453,2.049965776865161,1.5120782367566308,1.4317288726007462,1.4179972396138536,1.2760095824777549
KEWR,nam,8015,0.9942211070817494,1.1171553337492202,1.8021210230817217,2.287616176924303,2.8276805988771057,2.802378041172801,0.02530255770430445,0.2560688902670941,0.15134123518402995,1.872625441418462e-80,0.6192170818505338,0.9920948616600791,1.8127470355731226,1.0295,1.754962354551677,1.4409919706032315,1.4448720139588678,1.4445065978385854,1.1696906860203906
