model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
"Phase1C_NN[32, 16]",oos,2.1256,2.8205,0.9767,2.0415,2.8932,1.7594,1.8031
"Phase1C_NN[64, 32]",train,2.2688,2.9778,0.973,2.4465,2.7049,1.9365,1.9874
"Phase1C_NN[64, 32]",val,2.15,2.8868,0.974,2.2512,2.6002,1.8832,1.8645
"Phase1C_NN[64, 32]",test,2.0724,2.7314,0.9717,2.2998,2.5513,1.7724,1.6653
"Phase1C_NN[64, 32]",oos,2.0783,2.7663,0.9776,1.9226,2.7977,1.8,1.7864
Phase1C_HGB,train,2.2276,2.9003,0.9744,2.4149,2.5973,1.9037,1.9954
Phase1C_HGB,val,2.2589,3.0243,0.9715,2.423,2.7334,1.876,2.0042
Phase1C_HGB,test,2.068,2.7656,0.971,2.2308,2.4564,1.8498,1.7339
Phase1C_HGB,oos,2.1415,2.8221,0.9767,2.1129,2.7739,1.8576,1.8174
Phase1A+1B_Ridge,train,2.3034,3.0422,0.9719,2.5491,2.7368,1.9066,2.0227
Phase1A+1B_Ridge,val,2.2627,2.9763,0.9724,2.4383,2.6983,1.8418,2.0743
Phase1A+1B_Ridge,test,2.1234,2.7279,0.9718,2.3549,2.5007,1.83,1.8082
Phase1A+1B_Ridge,oos,2.218,2.8761,0.9758,2.0772,2.9929,1.8518,1.9438
"Phase1A+1B_NN[32, 16]",train,2.1724,2.9264,0.974,2.3814,2.6156,1.8104,1.8829
"Phase1A+1B_NN[32, 16]",val,2.1279,2.8369,0.9749,2.3189,2.5583,1.7775,1.8582
"Phase1A+1B_NN[32, 16]",test,2.0757,2.7126,0.9721,2.2352,2.5021,1.8248,1.7396
"Phase1A+1B_NN[32, 16]",oos,2.0734,2.7608,0.9777,1.9337,2.9214,1.6651,1.767
"Phase1A+1B_NN[64, 32]",train,2.11,2.8269,0.9757,2.2986,2.5094,1.7944,1.838
"Phase1A+1B_NN[64, 32]",val,2.1057,2.8214,0.9752,2.3007,2.5157,1.7521,1.8558
"Phase1A+1B_NN[64, 32]",test,2.0458,2.7,0.9723,2.2939,2.3802,1.8112,1.698
"Phase1A+1B_NN[64, 32]",oos,2.0282,2.6984,0.9787,1.891,2.8029,1.6743,1.7385
Phase1A+1B_HGB,train,2.1492,2.8375,0.9755,2.3642,2.4879,1.8229,1.9232
Phase1A+1B_HGB,val,2.1882,2.9431,0.973,2.4029,2.5618,1.7649,2.026
