name,ev_threshold,sizing_method,kelly_fraction,max_position_frac,total_pnl,sharpe_ratio,n_trades,win_rate,max_drawdown_pct
S0028_ev0.05_fractional_kelly_kf0.10_fee0.07_mp0.05_br1000,0.05,fractional_kelly,0.1,0.05,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0029_ev0.05_fractional_kelly_kf0.10_fee0.07_mp0.10_br1000,0.05,fractional_kelly,0.1,0.1,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0030_ev0.05_fractional_kelly_kf0.20_fee0.07_mp0.05_br1000,0.05,fractional_kelly,0.2,0.05,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0031_ev0.05_fractional_kelly_kf0.20_fee0.07_mp0.10_br1000,0.05,fractional_kelly,0.2,0.1,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0032_ev0.05_fractional_kelly_kf0.25_fee0.07_mp0.05_br1000,0.05,fractional_kelly,0.25,0.05,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0033_ev0.05_fractional_kelly_kf0.25_fee0.07_mp0.10_br1000,0.05,fractional_kelly,0.25,0.1,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0034_ev0.05_capped_kelly_kf0.10_fee0.07_mp0.05_br1000,0.05,capped_kelly,0.1,0.05,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0035_ev0.05_capped_kelly_kf0.10_fee0.07_mp0.10_br1000,0.05,capped_kelly,0.1,0.1,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0036_ev0.05_capped_kelly_kf0.20_fee0.07_mp0.05_br1000,0.05,capped_kelly,0.2,0.05,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0037_ev0.05_capped_kelly_kf0.20_fee0.07_mp0.10_br1000,0.05,capped_kelly,0.2,0.1,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
