epoch,train_nll,val_nll,val_mae,lr
1,74.66888919174671,5.889237798963275,57.85630416870117,0.001
2,5.736331710219384,5.627579689025879,56.46306228637695,0.001
3,5.577407640218735,5.5365438052586144,54.619441986083984,0.001
4,5.510107678174973,5.471886811937605,52.25247573852539,0.001
5,5.449626842141152,5.409535258156913,49.30171585083008,0.001
6,5.384154126048088,5.343496063777379,45.73939895629883,0.001
7,5.3163600146770476,5.269618783678327,41.44149398803711,0.001
8,5.240817847847938,5.190614931924003,36.457637786865234,0.001
9,5.163133791089058,5.112759808131627,30.820016860961914,0.001
10,5.092079788446426,5.0483105250767295,24.889575958251953,0.001
11,5.039873337745666,5.006823457990374,19.382102966308594,0.001
12,5.0086072236299515,4.987545435769217,16.208452224731445,0.001
13,4.996955299377442,4.979866790771484,15.216830253601074,0.001
14,4.991011893749237,4.976107052394322,14.789311408996582,0.001
15,4.985228496789932,4.97350709097726,14.393360137939453,0.001
16,4.980990171432495,4.969754600524903,13.968912124633789,0.001
17,4.97601255774498,4.966668919154576,13.536436080932617,0.001
18,4.968067249655723,4.962046786717006,13.021611213684082,0.001
19,4.961473062634468,4.9575644220624655,12.467802047729492,0.001
20,4.953263610601425,4.9460250173296245,11.925783157348633,0.001
21,4.937837737798691,4.928380802699498,11.384684562683105,0.001
22,4.922791177034378,4.911777469090053,10.84364128112793,0.001
23,4.893598979711532,4.889807782854352,10.255266189575195,0.001
24,4.862391218543053,4.838060079302107,9.96692943572998,0.001
25,4.776295104622841,4.692232717786516,9.78974437713623,0.001
26,4.579338276386261,4.494990982328143,8.907320022583008,0.001
27,4.344164687395096,3.9337544100625172,8.48119068145752,0.001
28,3.9638283371925356,3.7702340057918002,7.491276264190674,0.001
29,3.859436298906803,3.7251336574554443,7.80884313583374,0.001
30,3.7948071509599686,3.752629055295672,7.8867363929748535,0.001
31,3.767600250244141,3.6400704179491314,6.7009077072143555,0.001
32,3.7106418907642365,3.622112955365862,6.7496538162231445,0.001
33,3.7011961713433266,3.5821822847638813,6.3752264976501465,0.001
34,3.6667633831501005,3.568052455357143,6.559956073760986,0.001
35,3.6319185853004456,3.5962334156036375,6.797837734222412,0.001
36,3.619046339392662,3.6267874240875244,6.960209369659424,0.001
37,3.5794214263558386,3.6155277933393206,6.927792549133301,0.001
38,3.5715212300419807,3.574972779410226,6.270873546600342,0.001
39,3.5566439807415007,3.5278586183275493,6.116335868835449,0.001
40,3.55032899081707,3.5513731615883963,6.263308525085449,0.001
41,3.553556776046753,3.500254304068429,5.904863357543945,0.001
42,3.5536691784858703,3.5696166242871965,6.8336873054504395,0.001
43,3.533392459154129,3.4827342373984203,6.159082889556885,0.001
44,3.521748723089695,3.491595622471401,5.898519515991211,0.001
45,3.519306091964245,3.5231709616524833,5.997954845428467,0.001
46,3.5076165825128554,3.4243202754429407,5.560887336730957,0.001
47,3.50220006108284,3.516777460915702,5.50700569152832,0.001
48,3.5247900068759916,3.483138404573713,5.895413398742676,0.001
49,3.5023178473114966,3.4247307913643974,5.691648960113525,0.001
50,3.4840277284383774,3.435154117856707,5.544450283050537,0.001
51,3.4969970121979714,3.4852228369031635,5.683855056762695,0.001
52,3.476082544028759,3.5255864892687114,6.4508490562438965,0.001
53,3.4726136058568953,3.4704658235822405,5.989227771759033,0.001
54,3.4668025761842727,3.4758778640202115,5.964905261993408,0.001
55,3.4448201417922975,3.4805611610412597,5.592801570892334,0.0005
56,3.410730680823326,3.3875468390328543,5.367819309234619,0.0005
57,3.403944839537144,3.393534210750035,5.626280307769775,0.0005
58,3.399409954249859,3.523481457574027,6.373992443084717,0.0005
59,3.403390111029148,3.395720863342285,5.3085455894470215,0.0005
60,3.3984868094325065,3.385371950694493,5.300747394561768,0.0005
61,3.3891022577881813,3.393337072644915,5.251927375793457,0.0005
62,3.3735688105225563,3.4477553163255963,5.857005596160889,0.0005
63,3.3779131442308428,3.3981496606554304,5.378800392150879,0.0005
64,3.389414182305336,3.363769974027361,5.480603218078613,0.0005
65,3.3790123745799066,3.4030902998788015,5.225947380065918,0.0005
66,3.3652713492512705,3.422384752546038,5.84939432144165,0.0005
67,3.376710644364357,3.4855752672467912,5.3019256591796875,0.0005
68,3.3648280665278434,3.4384186335972378,5.770853042602539,0.0005
69,3.3466160997748373,3.356069830485753,5.0779948234558105,0.0005
70,3.3504949271678925,3.3663839272090366,5.2596611976623535,0.0005
71,3.356222365796566,3.3943750449589323,5.351162910461426,0.0005
72,3.3412367194890975,3.3809066227504183,5.606326103210449,0.0005
73,3.353433910012245,3.425347832271031,5.654836177825928,0.0005
74,3.3404486745595934,3.3589401858193533,5.196432113647461,0.0005
75,3.328456760942936,3.3734306744166784,5.103859901428223,0.0005
76,3.3439109548926353,3.42946503502982,5.260517597198486,0.0005
77,3.333290334045887,3.3900976044791085,5.162789344787598,0.0005
78,3.3117457896471025,3.3743293694087435,5.0481648445129395,0.00025
79,3.285581870377064,3.3808849470955984,4.973416805267334,0.00025
80,3.2911318823695184,3.3661480971745084,5.002997875213623,0.00025
81,3.292841078341007,3.381765297480992,5.222538948059082,0.00025
82,3.2720052719116213,3.408407551901681,5.2308878898620605,0.00025
