metric,in_sample,oos,change,verdict
sharpe_ratio,9.343655062200886,6.926273381056055,-2.417381681144831,"STRONG: OOS Sharpe >= 1.5, strategy validated"
roi,0.6452628611007529,0.2555740742399106,-0.38968878686084235,POSITIVE: OOS profitable
win_rate,0.6081967213114754,0.5562700964630225,-0.051926624848452896,DEGRADED: Win rate dropped >5%
max_drawdown,155.73362845495785,205.8529301418564,50.11930168689855,STABLE: OOS DD < 2x in-sample
total_pnl,6452.62861100753,2555.740742399106,-3896.887868608424,PROFITABLE
n_trades,610.0,311.0,-299.0,See details
brier_delta,-0.008793276506727607,-0.00550344761669759,0.0032898288900300166,EDGE PERSISTS: Model still beats market
