metric,in_sample,oos,change,verdict
sharpe_ratio,9.343655062200886,9.722688676484394,0.37903361428350735,"STRONG: OOS Sharpe >= 1.5, strategy validated"
roi,0.6452628611007529,0.262530083622552,-0.38273277747820095,POSITIVE: OOS profitable
win_rate,0.6081967213114754,0.6476683937823834,0.03947167247090799,STABLE: Win rate within +/-5%
max_drawdown,155.73362845495785,138.92661081008987,-16.807017644867983,STABLE: OOS DD < 2x in-sample
total_pnl,6452.62861100753,2625.30083622552,-3827.32777478201,PROFITABLE
n_trades,610.0,193.0,-417.0,See details
brier_delta,-0.008793276506727607,-0.015029775742016416,-0.006236499235288809,EDGE PERSISTS: Model still beats market
