station_id,latitude,longitude,elevation,state,name,distance_mi,bearing,ring,sector,has_tmin,is_usw,priority
USW00054737,40.1206,-76.2944,121.0,PA,LANCASTER AP,130.4381297300422,250.34965852060293,Ring3_Extended,W,True,True,3
USW00054797,41.4783,-71.5417,32.3,RI,KINGSTON 1 W,135.25758998199643,68.27250569779034,Ring3_Extended,E,True,True,3
USW00014735,42.7472,-73.7992,85.3,NY,ALBANY INTL AP,136.27973819300365,3.629637988664797,Ring3_Extended,N,True,True,3
USW00054768,42.6972,-73.1697,196.9,MA,N ADAMS HARRIMAN AP,138.8030028167178,17.010350928950402,Ring3_Extended,N,True,True,3
USW00004725,42.1997,-75.9847,519.1,NY,BINGHAMTON,143.23628954264333,313.9251050811442,Ring3_Extended,NW,True,True,3
USW00054781,42.8936,-73.2489,241.1,VT,BENNINGTON MORSE STATE AP,150.7431375050294,14.000436466563372,Ring4_Far,N,True,True,3
USW00054756,42.57,-72.2869,165.8,MA,ORANGE MUNI AP,151.16484823704195,34.49571746597934,Ring4_Far,NE,True,True,3
USW00014770,40.8192,-76.8658,135.3,PA,SELINSGROVE PENN VALLEY AP,151.5242972694099,271.99913161696355,Ring4_Far,W,True,True,3
USW00014750,43.3386,-73.6103,97.8,NY,GLENS FALLS AP,177.81534920242345,5.823429937136211,Ring4_Far,N,True,True,3
USW00093786,38.3092,-75.1233,1.8,MD,OCEAN CITY MUNI AP,181.37792716896692,200.1863672274896,Ring4_Far,S,True,True,3
USW00014739,42.3606,-71.0097,3.4,MA,BOSTON,187.99040769327308,53.4842629289102,Ring4_Far,NE,True,True,3
USW00014771,43.1111,-76.1039,125.0,NY,SYRACUSE HANCOCK INTL AP,194.9240069125628,326.4616719045974,Ring4_Far,NW,True,True,3
