period,strategy_name,n_trades,n_days,total_pnl,roi,sharpe_ratio,max_drawdown,win_rate,avg_ev
IS (2023-2024),S0396_ev0.15_proportional_kf0.05_fee0.07_mp0.05_br10000,351,4377,3118.5257828849317,0.31185257828849317,6.529513786059421,181.78246761539322,0.5811965811965812,0.255963577789253
OOS (2025),S0396_ev0.15_proportional_kf0.05_fee0.07_mp0.05_br10000,162,2165,1572.6878028251585,0.15726878028251584,7.47586034977701,75.88415707787726,0.6049382716049383,0.2419463951527458
