station_id,latitude,longitude,elevation,state,name,distance_mi,bearing,ring,sector,is_usw
USW00013958,30.3208,-97.7603,204.2,TX,AUSTIN-CAMP MABRY,10.2624366099278,328.3450317615633,Ring1_Near,NW,True
USC00412585,30.2194,-97.9878,330.4,TX,DRIPPING SPRINGS 6 E,19.054953236543327,275.28099665763636,Ring1_Near,W,False
USC00417983,29.8833,-97.9494,202.7,TX,SAN MARCOS,27.22739600739009,217.93422258275504,Ring1_Near,SW,False
USC00413507,30.6764,-97.7208,266.4,TX,GEORGETOWN LAKE,33.440570924946876,354.82058919766735,Ring1_Near,N,False
USC00415429,29.6756,-97.6578,121.9,TX,LULING,35.853458521495504,178.82950516394635,Ring1_Near,S,False
USC00411429,29.8608,-98.1958,304.8,TX,CANYON DAM,38.995110947152504,233.89718710271126,Ring1_Near,SW,False
USC00414605,30.3,-98.4094,346.6,TX,JOHNSON CITY 2N,44.732017607786545,279.5736674923491,Ring1_Near,W,False
USC00411250,30.7586,-98.2339,391.7,TX,BURNET,51.45091480053198,319.4017413180821,Ring2_Regional,NW,False
USW00012911,29.5325,-98.2622,221.9,TX,RANDOLPH AFB,57.88475667426803,217.9555275251496,Ring2_Regional,SW,True
USC00414792,31.0658,-97.6919,248.4,TX,KILLEEN,60.22267022167645,358.7667149467618,Ring2_Regional,N,False
USW00003902,31.0667,-97.8333,309.4,TX,ROBERT GRAY AAF,61.04770860131855,350.8906034885449,Ring2_Regional,N,True
USC00416368,29.2828,-97.7675,103.6,TX,NIXON,63.25719656209296,185.3299998382299,Ring2_Regional,S,False
USW00003933,31.1333,-97.7167,281.6,TX,FT HOOD,64.9317896427247,357.56201829858213,Ring2_Regional,N,True
USW00012921,29.5442,-98.4839,243.5,TX,SAN ANTONIO INTL AP,66.3043851630326,227.55066554157247,Ring2_Regional,SW,True
USC00413873,29.4706,-96.9397,83.8,TX,HALLETTSVILLE 2 N,66.46069169775618,138.6229643070891,Ring2_Regional,SE,False
USC00418446,30.3367,-96.5403,80.2,TX,SOMERVILLE DAM,68.12940193770922,81.41799872516555,Ring2_Regional,E,False
USC00410902,29.7986,-98.7353,440.4,TX,BOERNE,69.36485647927661,247.04758137962992,Ring2_Regional,SW,False
USC00415272,30.7425,-98.6542,310.9,TX,LLANO,69.78142311039585,303.1162282854789,Ring2_Regional,NW,False
USC00419952,29.2739,-97.1556,89.9,TX,YOAKUM,70.69333367901363,153.9870848470307,Ring2_Regional,SE,False
USC00413329,30.2392,-98.9089,513.6,TX,FREDERICKSBURG,74.03424659178513,272.7079252943569,Ring2_Regional,W,False
USC00411911,29.6989,-96.5731,68.6,TX,COLUMBUS,74.05855780582459,117.2598035536347,Ring2_Regional,SE,False
USW00012909,29.3833,-98.5833,207.9,TX,SAN ANTONIO KELLY AFB,78.35718765762037,224.5674647935902,Ring2_Regional,SW,True
USW00003904,30.5911,-96.3631,96.0,TX,COLLEGE STN EASTERWOOD FLD,82.57128909115195,70.28313700540616,Ring2_Regional,E,True
USW00013959,31.6181,-97.2283,151.8,TX,WACO RGNL AP,101.79447754639888,14.793201767798905,Ring3_Extended,N,True
USW00012912,28.8625,-96.93,33.8,TX,VICTORIA RGNL AP,102.21498919699663,154.01623339853722,Ring3_Extended,SE,True
USW00013928,31.6333,-97.0667,153.0,TX,WACO J CONNALLY AFB,105.65543473444,19.630143082218012,Ring3_Extended,N,True
USW00012962,29.36,-99.1742,281.0,TX,HONDO MUNI AP,107.05583522967284,237.79270088356384,Ring3_Extended,SW,True
USW00013973,30.5106,-99.7664,521.5,TX,JUNCTION KIMBLE CO AP,126.88775074623362,280.4430631285377,Ring3_Extended,W,True
USW00012935,28.7247,-96.2536,3.0,TX,PALACIOS MUNI AP,132.55942837101435,139.64855224051684,Ring3_Extended,SE,True
USW00012960,29.9844,-95.3608,27.4,TX,HOUSTON INTERCONTINENTAL AP,138.80944442469269,95.42025534737002,Ring3_Extended,E,True
USW00003969,32.2153,-98.1775,402.6,TX,STEPHENVILLE CLARK FLD,142.81628375433195,348.00826040611076,Ring3_Extended,N,True
USW00012918,29.6458,-95.2822,13.1,TX,HOUSTON WILLIAM P HOBBY AP,147.92937983549507,104.2488605594724,Ring3_Extended,E,True
USW00012947,28.4586,-99.2228,143.9,TX,COTULLA LA SALLE CO AP,152.09287414412842,218.33473008594058,Ring4_Far,SW,True
USW00012906,29.6167,-95.1667,11.9,TX,HOUSTON ELLINGTON AFB,155.15112928044664,104.28125931618587,Ring4_Far,E,True
USW00093914,31.7831,-95.6039,141.7,TX,PALESTINE 2 NE,164.3890158890482,47.58114030542987,Ring4_Far,NE,True
USW00012924,27.7839,-97.5114,43.3,TX,CORPUS CHRISTI,166.82683746455936,176.66745797288002,Ring4_Far,S,True
USW00012932,27.7414,-98.025,51.8,TX,ALICE INTL AP,170.84057375114006,187.30265691675746,Ring4_Far,S,True
USW00012926,27.6878,-97.2917,4.6,TX,CORPUS CHRISTI NAS,174.69480464470885,172.38408150397856,Ring4_Far,S,True
USW00013911,32.7667,-97.45,185.3,TX,FT WORTH NAS,178.20271021208723,4.114580752341567,Ring4_Far,N,True
USW00012923,29.2703,-94.8642,1.5,TX,GALVESTON SCHOLES FLD,180.037012988397,110.07113025018299,Ring4_Far,E,True
USW00093985,32.7817,-98.0603,287.1,TX,MINERAL WELLS AP,180.2396713751445,352.77109134487375,Ring4_Far,N,True
USW00093904,32.8167,-97.35,214.9,TX,FT WORTH MEACHAM FLD NAAF,182.16307899011207,5.856677069694399,Ring4_Far,N,True
USW00013961,32.8247,-97.3642,213.7,TX,FT WORTH MEACHAM FLD,182.6284189095244,5.581142562443688,Ring4_Far,N,True
