date,station_id,icao,tmax_f,tmin_f,tmean_f,dewpoint_mean_f,dewpoint_afternoon_f,wind_speed_mean_mph,wind_speed_max_mph,wind_dir_mean_deg,wind_dir_evening_deg,slp_00z_mb,slp_12z_mb,slp_tendency_24h_mb,cloud_fraction_low,obs_count
1998-01-01,USW00014843,KMBS,38.84,12.38,23.995,14.29,25.930000000000003,17.311733913043476,25.317159999999998,215.7377297046828,229.78477167015794,,1018.2,,,24
1998-01-02,USW00014843,KMBS,45.5,34.34,38.918260869565216,30.88695652173913,35.589999999999996,17.51186956521739,19.56326,232.21687174296807,213.29514117731208,1011.2,1015.5,,,23
1998-01-03,USW00014843,KMBS,51.26,45.68,48.538518518518515,44.992592592592594,48.92,18.284615555555554,21.864819999999998,230.876130059133,239.90123955912787,1013.1,1012.5,1.8999999999999773,,27
1998-01-04,USW00014843,KMBS,52.34,29.12,33.87642857142857,31.212857142857143,30.785714285714285,12.124289285714285,19.56326,42.11620497215631,65.11731362296149,1017.9,1026.3,4.7999999999999545,,29
1998-01-05,USW00014843,KMBS,52.0,32.0,44.246874999999996,43.43375,50.5075,8.27123125,13.809359999999998,182.66399740822638,181.16739046409825,1022.5,1017.9,4.600000000000023,,32
1998-01-06,USW00014843,KMBS,52.0,39.2,44.8458064516129,44.43935483870968,40.534285714285716,7.350143225806451,12.658579999999999,42.49904635246844,69.75221810145047,,1017.0,,,31
1998-01-07,USW00014843,KMBS,41.0,31.6,36.07923076923077,34.255384615384614,27.506666666666664,15.314226153846153,23.0156,32.1250366366333,31.60697139258707,1018.2,1017.8,,,26
1998-01-08,USW00014843,KMBS,32.36,29.3,31.008387096774193,28.609032258064516,30.275555555555556,24.129258064516126,28.769499999999997,38.94343130429627,49.678528163503074,,,,,31
1998-01-09,USW00014843,KMBS,35.6,31.64,33.541875,31.579375,28.5,14.488997129411764,24.166379999999997,95.14923860697178,247.0205224347004,1002.7,998.3,,,34
1998-01-10,USW00014843,KMBS,32.72,15.8,23.674482758620687,16.920689655172414,6.623333333333334,22.30132275862069,29.920279999999998,243.41683853880156,248.62226458782928,1008.2,1013.2,5.5,,29
1998-01-11,USW00014843,KMBS,19.4,13.0,15.995,8.066666666666666,8.049999999999999,14.864241666666665,19.56326,258.192396442121,249.6124408485892,1018.1,1022.1,9.899999999999977,,24
1998-01-12,USW00014843,KMBS,32.0,13.64,22.67862068965517,18.16551724137931,27.052,6.706269655172414,12.658579999999999,144.71870505351376,173.08653612173714,1024.4,1021.6,6.300000000000068,,29
1998-01-13,USW00014843,KMBS,32.54,9.86,18.05333333333333,9.511666666666667,-0.43,17.885039166666665,20.714039999999997,271.43705285705147,276.9357738264873,1011.4,1021.1,-13.000000000000114,,24
1998-01-14,USW00014843,KMBS,20.0,5.54,12.665925925925926,7.603703703703703,15.16,8.609539259259257,18.41248,112.22319654714693,73.99394761768178,1030.5,1032.8,19.100000000000023,,27
1998-01-15,USW00014843,KMBS,29.12,19.76,23.69,21.08764705882353,24.025,12.937556969696969,23.0156,62.74979028384905,29.232925312095915,1025.1,1016.3,-5.400000000000091,,34
1998-01-16,USW00014843,KMBS,26.78,22.0,24.199230769230773,19.697692307692307,19.506666666666664,10.888149230769232,17.261699999999998,40.268156304506476,50.88911463654915,1017.2,1016.5,-7.899999999999864,,26
1998-01-17,USW00014843,KMBS,31.82,24.44,26.37357142857143,23.382857142857144,25.2275,4.34909597037037,8.05546,22.944042603696857,357.109055415469,1014.5,1012.8,-2.7000000000000455,,28
1998-01-18,USW00014843,KMBS,30.38,25.16,27.279230769230768,24.191538461538464,25.13,9.427543846153846,16.11092,241.91845610188676,262.42010759229447,1013.3,1014.4,-1.2000000000000455,,26
1998-01-19,USW00014843,KMBS,29.84,21.38,26.226666666666667,22.557037037037034,24.00857142857143,7.927595555555555,11.5078,260.88826705874123,249.55340556414995,1016.2,1016.1,2.900000000000091,,27
1998-01-20,USW00014843,KMBS,30.74,15.8,21.923703703703705,17.09851851851852,16.36,7.20303037037037,11.5078,264.4079633223837,145.38935627367255,1017.4,1020.8,1.1999999999999318,,27
1998-01-21,USW00014843,KMBS,26.6,12.38,20.29259259259259,17.63925925925926,23.3375,5.7539,10.357019999999999,69.68918585232387,66.80764192743419,1025.1,1027.1,7.699999999999932,,27
1998-01-22,USW00014843,KMBS,28.4,20.66,25.44,21.784285714285716,23.206666666666667,14.138154285714284,19.56326,63.496274876398104,63.329563055302344,1026.0,1026.2,0.900000000000091,,28
1998-01-23,USW00014843,KMBS,31.46,24.44,27.794666666666668,25.23,23.436666666666667,11.115096325,19.56326,33.4208160386346,259.40628786419234,,,,,33
1998-01-24,USW00014843,KMBS,30.2,27.0,28.70357142857143,22.433333333333334,18.080000000000002,8.425353571428571,13.809359999999998,275.0206329792651,286.5501911592942,1014.4,1015.4,,,28
1998-01-25,USW00014843,KMBS,31.28,16.34,24.982307692307693,19.802307692307693,25.29111111111111,9.119488892307691,12.658579999999999,252.86727452910782,229.753507424589,1017.1,1020.5,2.7000000000000455,,26
1998-01-26,USW00014843,KMBS,32.0,25.88,27.65,25.964,27.66,10.135773264516127,14.960139999999999,66.46152787453275,60.64435148473376,1022.6,1024.7,5.5,,31
1998-01-27,USW00014843,KMBS,36.86,30.2,33.45166666666667,30.406666666666666,31.893333333333334,11.3236752,13.809359999999998,180.48748778044404,235.5806882440716,1024.4,1020.1,1.8000000000000682,,25
1998-01-28,USW00014843,KMBS,35.24,31.28,33.603199999999994,29.5456,29.86,7.1808672,11.5078,228.12683943294945,225.9065104175736,1016.9,1016.0,-7.500000000000114,,25
1998-01-29,USW00014843,KMBS,35.6,31.82,33.25333333333333,31.61818181818182,31.10571428571429,8.417955699999998,13.809359999999998,32.8280488771847,337.0597288505698,1012.0,,-4.899999999999977,,33
1998-01-30,USW00014843,KMBS,35.24,30.0,32.40083333333333,26.621666666666666,26.60666666666667,8.822646666666666,13.809359999999998,310.2065932063064,273.88793615400857,1010.5,1015.0,-1.5,,24
1998-01-31,USW00014843,KMBS,36.68,24.8,30.53,23.36916666666667,24.49,10.165223333333332,17.261699999999998,231.57469477876262,206.55855442683622,1017.4,1019.2,6.899999999999977,,24
1998-02-01,USW00014843,KMBS,39.2,25.34,31.383333333333336,24.885,27.756666666666664,11.989209633333331,16.11092,188.26244310869464,178.51198851084007,1017.1,1015.9,-0.2999999999999545,,24
