epoch,train_nll,val_nll,val_mae,lr
1,263.4746461781588,10.726936560410719,77.23688507080078,0.001
2,8.951488963828599,7.194986306704008,75.8976821899414,0.001
3,6.916385800385278,6.4242494473090535,74.5859146118164,0.001
4,6.426671512855971,6.119004487991333,73.08710479736328,0.001
5,6.120961839502508,5.970002577855037,71.43477630615234,0.001
6,5.9686076581970715,5.870542984742385,69.57913970947266,0.001
7,5.867737119848078,5.788825915409968,67.48396301269531,0.001
8,5.7713416745840025,5.720166958295382,65.17253875732422,0.001
9,5.702592282255819,5.654670091775747,62.620201110839844,0.001
10,5.639890000839864,5.591151292507465,59.867671966552734,0.001
11,5.573731398779499,5.527844704114473,56.912940979003906,0.001
12,5.506248099744813,5.465921456997211,53.7774772644043,0.001
13,5.444828715206178,5.405507509525005,50.47089385986328,0.001
14,5.38865314436353,5.348054188948411,47.08123779296875,0.001
15,5.337533726179895,5.294123943035419,43.74681854248047,0.001
16,5.293892060429597,5.24479156274062,40.44171142578125,0.001
17,5.242487190183529,5.202553198887752,37.290348052978516,0.001
18,5.215445246578248,5.16697465456449,34.25151062011719,0.001
19,5.178275463009669,5.139181448863103,31.420164108276367,0.001
20,5.14919992714874,5.118459756557758,28.967178344726562,0.001
21,5.136470124741231,5.103722737385676,27.13751792907715,0.001
22,5.125122184595786,5.093550186890822,26.07518768310547,0.001
23,5.118714206474872,5.086665300222544,25.5476131439209,0.001
24,5.113735183211397,5.0818397632012005,25.250707626342773,0.001
25,5.107793839509822,5.078042158713708,25.039339065551758,0.001
26,5.10352495682141,5.075115644014799,24.87626838684082,0.001
27,5.099837586899434,5.072172238276555,24.69651985168457,0.001
28,5.09861408186353,5.06954315992502,24.498510360717773,0.001
29,5.09229138665948,5.0667246488424444,24.265125274658203,0.001
30,5.094424555124331,5.063747827823345,24.048173904418945,0.001
31,5.087577524263997,5.0605731927431545,23.776813507080078,0.001
32,5.084514507577439,5.05745790554927,23.50601577758789,0.001
33,5.078330004510801,5.0541196419642525,23.206024169921875,0.001
34,5.07830687987903,5.050694190538847,22.87700843811035,0.001
35,5.075013357745714,5.047060966491699,22.540952682495117,0.001
36,5.067942394697962,5.043149471282959,22.177377700805664,0.001
37,5.065152243149182,5.039178114670974,21.780128479003906,0.001
38,5.060207229015256,5.035001791440523,21.38017463684082,0.001
39,5.05536871114053,5.030863211705134,20.911304473876953,0.001
40,5.051375861995476,5.026634986584003,20.486591339111328,0.001
41,5.046397185522663,5.0225498126103325,20.029863357543945,0.001
42,5.0410324640510495,5.018421980050894,19.587799072265625,0.001
43,5.036936984574499,5.014126814328707,19.097227096557617,0.001
44,5.032474182854014,5.010200922305767,18.663604736328125,0.001
45,5.029359687458385,5.006456118363601,18.236560821533203,0.001
46,5.025053146456884,5.002752340756929,17.817087173461914,0.001
47,5.022547832205276,4.999331932801467,17.370906829833984,0.001
48,5.0166988096946525,4.995837229948777,16.9143123626709,0.001
