period,nn_brier,ridge_brier,nn_n,ridge_n,brier_delta,nn_better,nn_winter_brier,nn_spring_brier,nn_summer_brier,nn_fall_brier,ridge_winter_brier,ridge_spring_brier,ridge_summer_brier,ridge_fall_brier
IS (2023-2024),0.17722991276363134,0.17721289864114165,4377,4377,1.7014122489694694e-05,False,0.17990710358646692,0.18351028736352024,0.16858661966623756,0.1769783811748507,0.18070830412703684,0.18516953720011226,0.16843144259842593,0.17459938837900368
OOS (2025),0.1796463272179556,0.1814965049210777,2165,2165,-0.0018501777031220967,True,0.1620408737002392,0.20176271346795413,0.17277210018039796,0.18084254823692358,0.16820624378449708,0.20166224305639793,0.1756170065303187,0.17958895940155611
