epoch,train_nll,val_nll,val_mae,lr
1,125.21954159736633,5.832669053758893,58.66343688964844,0.001
2,6.1376289367675785,5.597950771876744,57.28914260864258,0.001
3,5.734120321273804,5.525387723105294,55.83183288574219,0.001
4,5.603115141391754,5.4797916548592704,54.1612548828125,0.001
5,5.526204651594162,5.439679173060826,52.223365783691406,0.001
6,5.480512115359306,5.397308308737618,49.945499420166016,0.001
7,5.438357388973236,5.35167692729405,47.270973205566406,0.001
8,5.387057214975357,5.303066975729806,44.23161697387695,0.001
9,5.336762982606888,5.251561055864607,40.780433654785156,0.001
10,5.285388600826264,5.198195498330253,36.89876937866211,0.001
11,5.231154325604439,5.145350360870362,32.731624603271484,0.001
12,5.17492997944355,5.097581958770752,28.438608169555664,0.001
13,5.123969247937202,5.0588853018624445,24.181591033935547,0.001
14,5.0802916318178175,5.0334912845066615,20.328641891479492,0.001
15,5.0463369488716125,5.0211596625191826,17.71499252319336,0.001
16,5.0279270768165585,5.019517680576869,16.737022399902344,0.001
17,5.0165680885314945,5.0197292464120045,16.65849494934082,0.001
18,5.010422462224961,5.01918512071882,16.755395889282227,0.001
19,5.007175093889236,5.019346932002477,16.776098251342773,0.001
20,5.003561353683471,5.018245492662702,16.776660919189453,0.001
21,5.002329811453819,5.016242109026227,16.557893753051758,0.001
22,4.99908861219883,5.013678823198591,16.331323623657227,0.001
23,4.996194392442703,5.011667455945696,16.0509033203125,0.001
24,4.992863941192627,5.005381570543562,15.87489128112793,0.001
25,4.993250513076783,5.003930364336286,15.622894287109375,0.001
26,4.9876480281352995,4.999155480521066,15.202522277832031,0.001
27,4.983918491005897,4.9941688128880095,14.968438148498535,0.001
28,4.982031434774399,4.9921363285609655,14.635809898376465,0.001
29,4.9812923043966295,4.992671053750175,14.40618896484375,0.001
30,4.976154425740242,4.988369532993862,13.945406913757324,0.001
31,4.971785044670105,4.985528986794608,13.55735969543457,0.001
32,4.9668541043996814,4.97834118434361,13.242772102355957,0.001
33,4.968077018857002,4.982439177376883,12.820544242858887,0.001
34,4.960549196600914,4.975961303710937,12.431865692138672,0.001
35,4.9585293471813205,4.973628670828683,12.181873321533203,0.001
36,4.955796173214912,4.976121234893799,11.887018203735352,0.001
37,4.946836313605308,4.964299692426409,11.486739158630371,0.001
38,4.938274499773979,4.949709415435791,11.259098052978516,0.001
39,4.921924197673798,4.949116475241524,11.596583366394043,0.001
40,4.873795825242996,4.798339475904192,12.82691764831543,0.001
41,4.541045400500297,4.38270138331822,13.219759941101074,0.001
42,4.018653447926044,4.336127049582345,16.260061264038086,0.001
43,3.8818595200777053,3.8772136211395263,10.510987281799316,0.001
44,3.8338889315724374,3.768814720426287,9.493803024291992,0.001
45,3.7743963569402696,3.6484997000013077,7.338669776916504,0.001
46,3.7329519629478454,3.580906786237444,7.182811260223389,0.001
47,3.6930458158254624,3.662076255253383,7.51127290725708,0.001
48,3.674207927286625,3.708159896305629,8.969367980957031,0.001
49,3.650620213150978,3.6685264519282748,8.363424301147461,0.001
50,3.6317363724112512,3.608584567478725,8.279998779296875,0.001
51,3.6274619206786154,3.5759648731776648,7.910501956939697,0.001
52,3.6081190377473833,3.8214797496795656,9.771483421325684,0.001
53,3.5883481383323668,3.6542664323534284,8.300970077514648,0.001
54,3.5823894798755647,3.640936463219779,8.817317962646484,0.001
55,3.5719405472278596,3.5875926358359203,7.042412281036377,0.001
56,3.5493736982345583,3.5194000925336564,6.456668376922607,0.001
57,3.5327628016471864,3.525759526661464,7.028738021850586,0.001
58,3.54801979213953,3.482161808013916,7.158414363861084,0.001
59,3.5171529039740563,3.4488910675048827,6.392259120941162,0.001
60,3.5230658501386642,3.454337869371687,6.585479736328125,0.001
61,3.5225738152861594,3.529627357210432,7.100348949432373,0.001
62,3.5151359334588053,3.555637168884277,8.496318817138672,0.001
63,3.505644778907299,3.5111826487949918,6.774963855743408,0.001
64,3.5057175382971764,3.558834682192121,6.736408233642578,0.001
65,3.480248063802719,3.538661548069545,7.254783630371094,0.001
66,3.4889629751443865,3.482012026650565,6.5110907554626465,0.001
67,3.487657476961613,3.371512222290039,5.8837175369262695,0.001
68,3.4894695594906806,3.4389055252075194,5.901342868804932,0.001
69,3.4830764696002006,3.398820550101144,6.329280376434326,0.001
70,3.4633125096559523,3.431050307410104,5.305493354797363,0.001
71,3.4742235064506533,3.3577545166015623,5.761948585510254,0.001
72,3.438073843717575,3.4470723628997804,6.020648002624512,0.001
73,3.444236895442009,3.351425818034581,5.590241432189941,0.001
74,3.4472176402807237,3.533669294629778,7.287110805511475,0.001
75,3.4282515034079553,3.3505081653594972,5.896804332733154,0.001
76,3.4370955243706702,3.387228046144758,5.612606048583984,0.001
77,3.4502393931150435,3.4781531402042933,6.610156536102295,0.001
78,3.4354840591549873,3.365792615073068,5.685579776763916,0.001
79,3.4214560255408286,3.3406309400285994,5.726725101470947,0.001
80,3.4313149854540823,3.29784905569894,5.064049243927002,0.001
81,3.399038989841938,3.397502735682896,5.790168285369873,0.001
82,3.423643520474434,3.4087860448019844,5.555910587310791,0.001
83,3.4053967013955115,3.3339445386614117,5.281349182128906,0.001
84,3.400647982954979,3.346244614464896,5.384734630584717,0.001
85,3.3910282090306283,3.2779731818607876,5.14361047744751,0.001
86,3.3884271696209907,3.284749732698713,5.144947528839111,0.001
87,3.3976862639188767,3.3439580849238806,5.583082675933838,0.001
88,3.3824320539832113,3.3143679550715857,5.563883304595947,0.001
89,3.397112673521042,3.3122626440865655,5.329204559326172,0.001
90,3.371525816619396,3.2979948316301617,5.5898332595825195,0.001
91,3.371829055249691,3.260359512056623,5.046828746795654,0.001
92,3.373214286565781,3.2721700463976178,5.091943264007568,0.001
93,3.3624779894948005,3.277522284643991,5.1001386642456055,0.001
94,3.3562529519200326,3.348074906212943,5.332220077514648,0.001
95,3.3562541738152505,3.317493050439017,5.4451494216918945,0.001
96,3.360902379453182,3.34890946660723,5.68733024597168,0.001
97,3.3610169261693956,3.299188504900251,5.204685688018799,0.001
98,3.347103501856327,3.32083683013916,5.273120403289795,0.001
99,3.3601387679576873,3.2625595433371406,4.782600402832031,0.001
100,3.3197386831045153,3.290040990284511,5.182549953460693,0.0005
101,3.3041496336460114,3.2536994321005683,4.766592025756836,0.0005
102,3.2997334837913512,3.3876883098057338,5.700774192810059,0.0005
103,3.322116714715958,3.288441228866577,5.174710750579834,0.0005
104,3.300827196240425,3.2568281854901997,4.846920967102051,0.0005
105,3.3152701020240785,3.3079496588025776,5.017230033874512,0.0005
106,3.3101276740431786,3.330670349938529,5.318614482879639,0.0005
107,3.3071788415312766,3.3160711765289306,5.0811052322387695,0.0005
108,3.3085924088954926,3.263820627757481,4.784237384796143,0.0005
109,3.309841972589493,3.3311879226139616,5.199622631072998,0.0005
110,3.276427847146988,3.287127917153495,4.96932315826416,0.00025
111,3.2813963770866392,3.2915443692888533,4.886471271514893,0.00025
112,3.274965949356556,3.3269264902387348,5.127872943878174,0.00025
113,3.270261299610138,3.3188368865421842,5.231052875518799,0.00025
114,3.2797917813062667,3.2791044507707867,4.9315266609191895,0.00025
115,3.2729908004403114,3.3124413694654193,5.007818222045898,0.00025
116,3.2729985028505326,3.315648583003453,5.051396369934082,0.00025
117,3.2705424964427947,3.2952873366219655,4.786234378814697,0.00025
118,3.2643318980932237,3.298820754459926,4.9959940910339355,0.000125
119,3.2582765102386473,3.3281568322862896,5.141767978668213,0.000125
120,3.2621266931295394,3.313433538164411,5.03415584564209,0.000125
121,3.270765471458435,3.3085802486964635,4.9943671226501465,0.000125
