epoch,train_loss,val_loss,val_mae,lr,delta_mae,reconstructed_mae
1,5.630949878692627,6.29223141670227,6.47992487215811,0.001,6.479925155639648,6.47992487215811
2,5.5943656921386715,6.228999948501587,6.419812528209312,0.001,6.419812202453613,6.419812528209312
3,5.541792702674866,6.137643098831177,6.328272566076939,0.001,6.328271865844727,6.328272566076939
4,5.504899525642395,6.0674254417419435,6.2594451727370055,0.001,6.2594451904296875,6.2594451727370055
5,5.461334013938904,6.046404886245727,6.241906531936604,0.001,6.241906642913818,6.241906531936604
6,5.421191096305847,5.98250823020935,6.188655421767574,0.001,6.188656330108643,6.188655421767574
7,5.368077039718628,5.921359205245972,6.133893618589117,0.001,6.1338934898376465,6.133893618589117
8,5.314681911468506,5.923081874847412,6.147060641292347,0.001,6.147060871124268,6.147060641292347
9,5.257099175453186,5.779326105117798,5.9990851164777785,0.001,5.999084949493408,5.9990851164777785
10,5.191711497306824,5.714747905731201,5.946841590424088,0.001,5.946841716766357,5.946841590424088
11,5.128544616699219,5.6674798965454105,5.902962281461941,0.001,5.9029622077941895,5.902962281461941
12,5.041164445877075,5.623239803314209,5.848823993420297,0.001,5.848824501037598,5.848823993420297
13,4.984102487564087,5.5999078273773195,5.828500865790313,0.001,5.828501224517822,5.828500865790313
14,4.95450918674469,5.560652875900269,5.779539841562237,0.001,5.779539585113525,5.779539841562237
15,4.918813264369964,5.567669343948364,5.792942671839447,0.001,5.792942523956299,5.792942671839447
16,4.849558663368225,5.514887475967408,5.720167472618938,0.001,5.720167636871338,5.720167472618938
17,4.816460108757019,5.457789373397827,5.645563089596312,0.001,5.64556360244751,5.645563089596312
18,4.799090003967285,5.488707113265991,5.667033193462739,0.001,5.6670331954956055,5.667033193462739
19,4.781257843971252,5.4534728050231935,5.6361275904356445,0.001,5.63612699508667,5.6361275904356445
20,4.7807158589363095,5.444658374786377,5.635729010855085,0.001,5.63572883605957,5.635729010855085
21,4.760635805130005,5.470733165740967,5.654053325088028,0.001,5.654052734375,5.654053325088028
22,4.720597529411316,5.511458873748779,5.71319609047913,0.001,5.713196277618408,5.71319609047913
23,4.719253373146057,5.4723132133483885,5.66035749589331,0.001,5.660357475280762,5.66035749589331
24,4.714059686660766,5.403393173217774,5.573390494750364,0.001,5.573390007019043,5.573390494750364
25,4.702558612823486,5.395609521865845,5.547343730653507,0.001,5.547343730926514,5.547343730653507
26,4.678849458694458,5.372803497314453,5.531416355802331,0.001,5.531416416168213,5.531416355802331
27,4.642720282077789,5.375410747528076,5.531976241058241,0.001,5.531976222991943,5.531976241058241
28,4.627112102508545,5.382014560699463,5.524865481509644,0.001,5.524865627288818,5.524865481509644
29,4.636408567428589,5.376437139511109,5.5396415393591525,0.001,5.539641857147217,5.5396415393591525
30,4.618191075325012,5.394594478607178,5.55737376882348,0.001,5.557374000549316,5.55737376882348
31,4.603234231472015,5.387780427932739,5.55593125511967,0.001,5.555931568145752,5.55593125511967
32,4.608035945892334,5.394527196884155,5.550411387334993,0.001,5.550411701202393,5.550411387334993
33,4.577301251888275,5.3418616771698,5.475810330388319,0.0005,5.475810527801514,5.475810330388319
34,4.573759722709656,5.40031476020813,5.561843610964444,0.0005,5.561843395233154,5.561843610964444
35,4.550813972949982,5.373238658905029,5.517605109063596,0.0005,5.517604827880859,5.517605109063596
36,4.53983964920044,5.359746217727661,5.504363554027612,0.0005,5.504363536834717,5.504363554027612
37,4.538692879676819,5.324620628356934,5.461133602174529,0.0005,5.4611334800720215,5.461133602174529
38,4.572385096549988,5.373443222045898,5.521840742641149,0.0005,5.521840572357178,5.521840742641149
39,4.518279564380646,5.3499702453613285,5.493426929799854,0.0005,5.49342679977417,5.493426929799854
40,4.521691071987152,5.36419267654419,5.515790111271215,0.0005,5.515789985656738,5.515790111271215
41,4.5063183307647705,5.326062536239624,5.458527134898371,0.0005,5.458527088165283,5.458527134898371
42,4.4957030534744264,5.352769279479981,5.494214702779088,0.0005,5.4942145347595215,5.494214702779088
43,4.5023503541946415,5.368005323410034,5.518647313496492,0.0005,5.518647193908691,5.518647313496492
44,4.494998025894165,5.319512987136841,5.449857243653524,0.00025,5.449857234954834,5.449857243653524
45,4.473020768165588,5.334573602676391,5.476905073628075,0.00025,5.47690486907959,5.476905073628075
46,4.488645303249359,5.342063999176025,5.478903490133095,0.00025,5.4789042472839355,5.478903490133095
47,4.471689236164093,5.32033224105835,5.443842957422246,0.00025,5.443843364715576,5.443842957422246
48,4.469899213314056,5.346015071868896,5.4825683415698805,0.00025,5.482568264007568,5.4825683415698805
49,4.482665610313416,5.34207181930542,5.479215711172481,0.00025,5.4792160987854,5.479215711172481
50,4.4710180282592775,5.315545463562012,5.438271058989268,0.00025,5.4382710456848145,5.438271058989268
51,4.470361256599427,5.325571489334107,5.459067737636884,0.00025,5.459068298339844,5.459067737636884
52,4.461796450614929,5.321217632293701,5.450200848319725,0.00025,5.45020055770874,5.450200848319725
53,4.45831583738327,5.326995754241944,5.456804820894652,0.00025,5.4568047523498535,5.456804820894652
54,4.45841828584671,5.3332360744476315,5.464260570902895,0.00025,5.464260578155518,5.464260570902895
55,4.455620431900025,5.311855792999268,5.4361629971231,0.00025,5.436163425445557,5.4361629971231
56,4.450847840309143,5.323373031616211,5.449087580119389,0.00025,5.449087619781494,5.449087580119389
57,4.455872583389282,5.3252910614013675,5.457050577914955,0.00025,5.457050800323486,5.457050577914955
58,4.45039918422699,5.316044807434082,5.438737115548095,0.00025,5.438737392425537,5.438737115548095
59,4.452616930007935,5.314829635620117,5.439165143449894,0.00025,5.439165115356445,5.439165143449894
60,4.442416501045227,5.316778326034546,5.444819223099273,0.00025,5.444819450378418,5.444819223099273
61,4.440960216522217,5.314413261413574,5.438938155173033,0.00025,5.438937664031982,5.438938155173033
62,4.436182820796967,5.3203479766845705,5.44483298512706,0.000125,5.444833278656006,5.44483298512706
63,4.435243821144104,5.3101578712463375,5.4328889368301825,0.000125,5.432888984680176,5.4328889368301825
64,4.437778222560882,5.311036491394043,5.43199898105142,0.000125,5.431999206542969,5.43199898105142
65,4.438557767868042,5.312510538101196,5.4340549074428806,0.000125,5.434054374694824,5.4340549074428806
66,4.430511069297791,5.310195589065552,5.430195408976182,0.000125,5.430195331573486,5.430195408976182
67,4.428186142444611,5.305829906463623,5.428027776801674,0.000125,5.428027629852295,5.428027776801674
68,4.427421486377716,5.316815137863159,5.445054173800062,0.000125,5.445054054260254,5.445054173800062
69,4.431579303741455,5.303740835189819,5.421114758408907,0.000125,5.421114921569824,5.421114758408907
70,4.427889657020569,5.316832399368286,5.443333303301738,0.000125,5.443333625793457,5.443333303301738
71,4.424523663520813,5.305521535873413,5.426602450835989,0.000125,5.426602840423584,5.426602450835989
72,4.423134243488311,5.304352617263794,5.422781576617575,0.000125,5.422781467437744,5.422781576617575
73,4.4232228875160216,5.306859970092773,5.426466782952177,0.000125,5.426466941833496,5.426466782952177
74,4.422096765041351,5.306916236877441,5.425508922908429,0.000125,5.425508499145508,5.425508922908429
75,4.420480978488922,5.3031031608581545,5.42234900277747,0.000125,5.422348976135254,5.42234900277747
76,4.419545590877533,5.309223413467407,5.428566547638472,0.000125,5.4285664558410645,5.428566547638472
77,4.4187342643737795,5.310099172592163,5.430614086501029,0.000125,5.430613994598389,5.430614086501029
78,4.420075833797455,5.305685520172119,5.423078037812953,0.000125,5.4230780601501465,5.423078037812953
79,4.418350350856781,5.297393655776977,5.413997796123481,0.000125,5.413998126983643,5.413997796123481
80,4.421152257919312,5.303248453140259,5.41614692463492,0.000125,5.416147708892822,5.41614692463492
81,4.417335283756256,5.308533334732056,5.424281036801583,0.000125,5.424280643463135,5.424281036801583
82,4.413129758834839,5.3007251739501955,5.419161862517797,0.000125,5.419161796569824,5.419161862517797
83,4.415933930873871,5.305407905578614,5.425122569370336,0.000125,5.425122261047363,5.425122569370336
84,4.413422656059265,5.307134628295898,5.424017893620325,0.000125,5.424017906188965,5.424017893620325
85,4.411289083957672,5.296932506561279,5.409712201616979,0.000125,5.409711837768555,5.409712201616979
86,4.407357954978943,5.3015406131744385,5.417766724136135,6.25e-05,5.417766571044922,5.417766724136135
87,4.409187459945679,5.30511794090271,5.421272553783047,6.25e-05,5.4212727546691895,5.421272553783047
88,4.405969083309174,5.302539539337158,5.417719788510271,6.25e-05,5.417719841003418,5.417719788510271
89,4.4065270066261295,5.3034087181091305,5.4186174623902055,6.25e-05,5.418617248535156,5.4186174623902055
90,4.407164132595062,5.304815292358398,5.421542453254118,6.25e-05,5.421542644500732,5.421542453254118
91,4.409786105155945,5.304179048538208,5.421017877850138,6.25e-05,5.421017646789551,5.421017877850138
92,4.405039930343628,5.301341485977173,5.415815046377427,3.125e-05,5.415815353393555,5.415815046377427
93,4.406023025512695,5.2994438171386715,5.413428662794432,3.125e-05,5.41342830657959,5.413428662794432
94,4.403127813339234,5.300618076324463,5.416353335254793,3.125e-05,5.416353225708008,5.416353335254793
95,4.404789745807648,5.3015237808227536,5.416067155935415,3.125e-05,5.416066646575928,5.416067155935415
96,4.401000237464904,5.299888753890992,5.4141680105889805,3.125e-05,5.414168357849121,5.4141680105889805
97,4.403215324878692,5.301304674148559,5.415960272305856,3.125e-05,5.415960311889648,5.415960272305856
98,4.401156175136566,5.300250911712647,5.41443705550361,1.5625e-05,5.4144368171691895,5.41443705550361
99,4.401505994796753,5.300954866409302,5.4152392108123895,1.5625e-05,5.415239334106445,5.4152392108123895
100,4.401627719402313,5.301035022735595,5.415003142480189,1.5625e-05,5.415003299713135,5.415003142480189
