model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
E3_cosine_anneal,test,2.0751,2.769,0.9709,2.2517,2.5236,1.7577,1.7671
E3_cosine_anneal,oos,2.1638,2.8817,0.9757,2.1712,2.9185,1.7803,1.7813
E3_plateau,train,2.2859,3.0276,0.9721,2.4919,2.7207,1.9298,2.0018
E3_plateau,val,2.2063,2.9427,0.973,2.2657,2.6982,1.9325,1.9273
E3_plateau,test,2.1078,2.7925,0.9704,2.3104,2.5726,1.7901,1.7575
E3_plateau,oos,2.1337,2.8229,0.9767,1.9639,2.9761,1.8012,1.7859
E4_wd_0,train,2.3362,3.0973,0.9708,2.5462,2.7706,1.9889,2.0396
E4_wd_0,val,2.225,2.9812,0.9723,2.3293,2.7352,1.8634,1.9717
E4_wd_0,test,2.0955,2.7884,0.9705,2.2576,2.5909,1.782,1.7504
E4_wd_0,oos,2.141,2.8516,0.9762,2.0469,2.934,1.7869,1.7902
E4_wd_1e-05,train,2.2859,3.0276,0.9721,2.4919,2.7207,1.9298,2.0018
E4_wd_1e-05,val,2.2063,2.9427,0.973,2.2657,2.6982,1.9325,1.9273
E4_wd_1e-05,test,2.1078,2.7925,0.9704,2.3104,2.5726,1.7901,1.7575
E4_wd_1e-05,oos,2.1337,2.8229,0.9767,1.9639,2.9761,1.8012,1.7859
E4_wd_5e-05,train,2.3433,3.1043,0.9707,2.5591,2.7738,1.9902,2.0509
E4_wd_5e-05,val,2.217,2.9851,0.9722,2.3269,2.7102,1.8779,1.9525
E4_wd_5e-05,test,2.1176,2.8236,0.9697,2.2579,2.5966,1.8421,1.7722
E4_wd_5e-05,oos,2.1701,2.8887,0.9756,2.0595,2.9404,1.8322,1.8424
E4_wd_1e-04,train,2.26,2.9865,0.9729,2.4349,2.684,1.934,1.9873
E4_wd_1e-04,val,2.1974,2.9193,0.9734,2.2891,2.67,1.8875,1.9424
E4_wd_1e-04,test,2.0772,2.763,0.971,2.2504,2.5518,1.7836,1.7221
E4_wd_1e-04,oos,2.1396,2.8101,0.9769,1.9964,2.9396,1.8036,1.8121
E4_wd_5e-04,train,2.2734,3.0103,0.9724,2.448,2.7131,1.9324,2.0005
E4_wd_5e-04,val,2.1961,2.9281,0.9733,2.3142,2.708,1.8659,1.8958
E4_wd_5e-04,test,2.0771,2.7624,0.971,2.2837,2.5426,1.7556,1.7261
E4_wd_5e-04,oos,2.1483,2.8273,0.9766,2.0772,2.883,1.7831,1.8451
E4_wd_1e-03,train,2.2602,2.9935,0.9727,2.422,2.6957,1.9376,1.9857
E4_wd_1e-03,val,2.2083,2.9382,0.9731,2.2971,2.755,1.8757,1.9038
E4_wd_1e-03,test,2.0836,2.7846,0.9706,2.2932,2.5769,1.7574,1.7062
E4_wd_1e-03,oos,2.1345,2.8221,0.9767,1.9825,2.9501,1.7889,1.8097
E5_cv_fold1,val,2.4247,3.157,0.9688,2.579,2.9845,2.0215,2.1128
E5_cv_fold1,test,2.1596,2.8466,0.9693,2.3419,2.7008,1.8775,1.7163
E5_cv_fold2,val,2.3027,3.1454,0.9704,2.6334,2.9002,1.5667,2.1157
E5_cv_fold2,test,2.1455,2.8382,0.9694,2.3161,2.6285,1.8462,1.7902
