strategy,total_pnl,max_drawdown,sharpe_ratio,var_5pct,expected_shortfall_5pct,profit_factor,max_win,max_loss,avg_win,avg_loss
S0008_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,9726.120195030217,158.82931654576987,5.839134005333572,-16.161880779901846,-21.28776415016953,2.8885693689869454,45.45252492382238,-39.85660319602744,10.986790112081167,-7.388800023999555
S0009_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,9726.120195030217,158.82931654576987,5.839134005333572,-16.161880779901846,-21.28776415016953,2.8885693689869454,45.45252492382238,-39.85660319602744,10.986790112081167,-7.388800023999555
S0010_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,9726.120195030217,158.82931654576987,5.839134005333572,-16.161880779901846,-21.28776415016953,2.8885693689869454,45.45252492382238,-39.85660319602744,10.986790112081167,-7.388800023999555
S0011_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,9726.120195030217,158.82931654576987,5.839134005333572,-16.161880779901846,-21.28776415016953,2.8885693689869454,45.45252492382238,-39.85660319602744,10.986790112081167,-7.388800023999555
S0064_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,9726.120195030217,158.82931654576987,5.839134005333572,-16.161880779901846,-21.28776415016953,2.8885693689869454,45.45252492382238,-39.85660319602744,10.986790112081167,-7.388800023999555
S0065_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,9726.120195030217,158.82931654576987,5.839134005333572,-16.161880779901846,-21.28776415016953,2.8885693689869454,45.45252492382238,-39.85660319602744,10.986790112081167,-7.388800023999555
S0066_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,9726.120195030217,158.82931654576987,5.839134005333572,-16.161880779901846,-21.28776415016953,2.8885693689869454,45.45252492382238,-39.85660319602744,10.986790112081167,-7.388800023999555
S0067_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,9726.120195030217,158.82931654576987,5.839134005333572,-16.161880779901846,-21.28776415016953,2.8885693689869454,45.45252492382238,-39.85660319602744,10.986790112081167,-7.388800023999555
S0120_ev0.02_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,9551.28974818797,161.16438437517627,6.195456968208362,-16.899867028622715,-21.654710084540547,2.909018636117719,45.45252492382238,-33.60022990930835,12.439774095892336,-7.929074396206125
S0121_ev0.02_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,9551.28974818797,161.16438437517627,6.195456968208362,-16.899867028622715,-21.654710084540547,2.909018636117719,45.45252492382238,-33.60022990930835,12.439774095892336,-7.929074396206125
