strategy_name,n_trades,n_days,total_pnl,roi,sharpe_ratio,max_drawdown,win_rate,avg_ev
S0008_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,3951,4377,-2493.6499999999996,-0.24936499999999998,-1.3892292042450403,2493.6499999999996,0.06175651733738294,0.2616595553761586
S0009_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,3951,4377,-2493.6499999999996,-0.24936499999999998,-1.3892292042450403,2493.6499999999996,0.06175651733738294,0.2616595553761586
S0010_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,3951,4377,-2493.6499999999996,-0.24936499999999998,-1.3892292042450403,2493.6499999999996,0.06175651733738294,0.2616595553761586
S0011_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,3951,4377,-2493.6499999999996,-0.24936499999999998,-1.3892292042450403,2493.6499999999996,0.06175651733738294,0.2616595553761586
S0064_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,3951,4377,-2493.6499999999996,-0.24936499999999998,-1.3892292042450403,2493.6499999999996,0.06175651733738294,0.2616595553761586
S0065_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,3951,4377,-2493.6499999999996,-0.24936499999999998,-1.3892292042450403,2493.6499999999996,0.06175651733738294,0.2616595553761586
S0066_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,3951,4377,-2493.6499999999996,-0.24936499999999998,-1.3892292042450403,2493.6499999999996,0.06175651733738294,0.2616595553761586
S0067_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,3951,4377,-2493.6499999999996,-0.24936499999999998,-1.3892292042450403,2493.6499999999996,0.06175651733738294,0.2616595553761586
S0120_ev0.02_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,3803,4377,-2490.5800000000004,-0.24905800000000003,-1.4216728211376408,2490.5800000000004,0.060215619247962135,0.2712505654065526
S0121_ev0.02_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,3803,4377,-2490.5800000000004,-0.24905800000000003,-1.4216728211376408,2490.5800000000004,0.060215619247962135,0.2712505654065526
