season,n_samples,model_brier,market_brier,brier_delta,mean_prob_delta,mean_abs_prob_delta
Winter,1077,0.1798936757134595,0.023619220055710304,0.1562744556577492,-0.007673108208241682,0.26283342706798885
Spring,1104,0.18555702330099957,0.015323188405797104,0.17023383489520247,-0.004545808792032666,0.2647033519531405
Summer,1104,0.17197618555541194,0.025110960144927537,0.1468652254104844,-0.010041582506434032,0.2622650889267558
Fall,1092,0.17671494805960195,0.03600274725274725,0.1407122008068547,0.0023423703184396157,0.2527379880668508
