bucket,n,mean_model_prob,mean_market_prob,mean_prob_delta,yes_rate
25-34F,181,0.23869460777896537,0.25242798431910973,-0.013733376540144357,0.20994475138121546
35-44F,181,0.32230412646305245,0.3321865921533652,-0.009882465690312797,0.46408839779005523
40-49F,366,0.10920515971431143,0.13473105863075333,-0.025525898916441893,0.10655737704918032
45-54F,181,0.2545098457976636,0.27673971709780204,-0.02222987130013838,0.23756906077348067
50-59F,366,0.2350400898494105,0.24805174941067476,-0.013011659561264278,0.2650273224043716
55-64F,181,0.08772274951662337,0.11736066826187282,-0.029637918745249445,0.03314917127071823
60-69F,366,0.3020314000761167,0.3095270362268011,-0.007495636150684475,0.31693989071038253
65-74F,365,0.06923525652827797,0.09787408919946593,-0.028638832671187945,0.049315068493150684
70-79F,366,0.2016917851663506,0.22577852069393356,-0.02408673552758296,0.1912568306010929
75-79F,184,0.17677790935423202,0.19219563055537672,-0.015417721201144707,0.20652173913043478
80-84F,184,0.28351427714108346,0.28796216589256884,-0.00444788875148539,0.3423913043478261
80-89F,366,0.08836982482339059,0.12009678315939457,-0.031726958336003974,0.07377049180327869
85-89F,184,0.22803391573682547,0.23745944073087996,-0.009425524994054501,0.2391304347826087
90-94F,184,0.10817795706443518,0.13161341454046735,-0.023435457476032175,0.06521739130434782
Above 75F,181,0.00014368760669587012,0.03796924551347536,-0.03782555790677949,0.0
Above 90F,366,0.013579904581050151,0.049631848353302754,-0.036051943772252605,0.00546448087431694
Above 95F,184,0.05951532093541218,0.09076780312626746,-0.031252482190855295,0.04891304347826087
Below 25F,181,0.08615541507865844,0.11392255905538619,-0.027767143976727745,0.049723756906077346
Below 40F,366,0.05008183578937006,0.08392380470907418,-0.03384196891970412,0.040983606557377046
Below 65F,184,0.016937810699741252,0.05766800284279898,-0.040730192143057724,0.005434782608695652
