strategy_name,n_trades,n_days,total_pnl,roi,sharpe_ratio,max_drawdown,win_rate,avg_ev
S0008_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,2051,7310,9726.120195030217,0.9726120195030217,5.839134005333572,158.82931654576987,0.6601657727937591,0.12410331100633061
S0009_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,2051,7310,9726.120195030217,0.9726120195030217,5.839134005333572,158.82931654576987,0.6601657727937591,0.12410331100633061
S0010_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,2051,7310,9726.120195030217,0.9726120195030217,5.839134005333572,158.82931654576987,0.6601657727937591,0.12410331100633061
S0011_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,2051,7310,9726.120195030217,0.9726120195030217,5.839134005333572,158.82931654576987,0.6601657727937591,0.12410331100633061
S0064_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,2051,7310,9726.120195030217,0.9726120195030217,5.839134005333572,158.82931654576987,0.6601657727937591,0.12410331100633061
S0065_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,2051,7310,9726.120195030217,0.9726120195030217,5.839134005333572,158.82931654576987,0.6601657727937591,0.12410331100633061
S0066_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.15_br10000,2051,7310,9726.120195030217,0.9726120195030217,5.839134005333572,158.82931654576987,0.6601657727937591,0.12410331100633061
S0067_ev0.01_fractional_kelly_kf0.05_fee0.07_mp0.20_br10000,2051,7310,9726.120195030217,0.9726120195030217,5.839134005333572,158.82931654576987,0.6601657727937591,0.12410331100633061
S0120_ev0.02_fractional_kelly_kf0.05_fee0.07_mp0.05_br10000,1801,7310,9551.28974818797,0.955128974818797,6.195456968208362,161.16438437517627,0.6496390893947807,0.13925171556225424
S0121_ev0.02_fractional_kelly_kf0.05_fee0.07_mp0.10_br10000,1801,7310,9551.28974818797,0.955128974818797,6.195456968208362,161.16438437517627,0.6496390893947807,0.13925171556225424
