total_pnl,return_pct,n_trades,win_rate,sharpe_ratio,max_drawdown,max_drawdown_pct,ev_threshold,kelly_fraction,max_contracts
-11.943911540431827,-1.1943911540431829,346,0.6705202312138728,-1.7238451273143776,-26.25657400006253,-2.588607534129796,0.01,0.1,5
-23.88782308086104,-2.3887823080861037,346,0.6705202312138728,-1.7238451273143776,-52.51314800012335,-5.105177437104726,0.01,0.1,10
-36.0424499330569,-3.60424499330569,346,0.6705202312138728,-1.7333326239667926,-78.98043731194946,-7.572879525698624,0.01,0.1,15
-11.943911540431827,-1.1943911540431829,346,0.6705202312138728,-1.7238451273143776,-26.25657400006253,-2.588607534129796,0.01,0.15,5
-23.88782308086104,-2.3887823080861037,346,0.6705202312138728,-1.7238451273143776,-52.51314800012335,-5.105177437104726,0.01,0.15,10
-35.831734621293776,-3.583173462129378,346,0.6705202312138728,-1.7238451273143658,-78.76972200018633,-7.552675514116623,0.01,0.15,15
-11.943911540431827,-1.1943911540431829,346,0.6705202312138728,-1.7238451273143776,-26.25657400006253,-2.588607534129796,0.01,0.2,5
-23.88782308086104,-2.3887823080861037,346,0.6705202312138728,-1.7238451273143776,-52.51314800012335,-5.105177437104726,0.01,0.2,10
-35.831734621293776,-3.583173462129378,346,0.6705202312138728,-1.7238451273143658,-78.76972200018633,-7.552675514116623,0.01,0.2,15
-11.943911540431827,-1.1943911540431829,346,0.6705202312138728,-1.7238451273143776,-26.25657400006253,-2.588607534129796,0.01,0.25,5
-23.88782308086104,-2.3887823080861037,346,0.6705202312138728,-1.7238451273143776,-52.51314800012335,-5.105177437104726,0.01,0.25,10
-35.831734621293776,-3.583173462129378,346,0.6705202312138728,-1.7238451273143658,-78.76972200018633,-7.552675514116623,0.01,0.25,15
-11.943911540431827,-1.1943911540431829,346,0.6705202312138728,-1.7238451273143776,-26.25657400006253,-2.588607534129796,0.01,0.35,5
-23.88782308086104,-2.3887823080861037,346,0.6705202312138728,-1.7238451273143776,-52.51314800012335,-5.105177437104726,0.01,0.35,10
-35.831734621293776,-3.583173462129378,346,0.6705202312138728,-1.7238451273143658,-78.76972200018633,-7.552675514116623,0.01,0.35,15
-13.46555292412711,-1.346555292412711,294,0.6156462585034014,-2.1254562212913983,-26.31656457892268,-2.5982661098325495,0.02,0.1,5
-26.93110584825206,-2.693110584825206,294,0.6156462585034014,-2.1254562212913983,-52.63312915784411,-5.131424913057583,0.02,0.1,10
-40.396658772379965,-4.039665877237997,294,0.6156462585034014,-2.125456221291389,-78.94969373676724,-7.601893314911404,0.02,0.1,15
