model,total_pnl,return_pct,n_trades,win_rate,sharpe_ratio,max_drawdown,max_drawdown_pct,n_trading_days,ev_threshold,kelly_fraction,max_contracts,period
model_prob,-998.8050000000004,-99.88050000000004,1493,0.4132618888144675,-8.697667959964736,-1009.3968,-99.93414265658943,409,0.02,0.1,10,
model_prob,-1004.2526000000004,-100.42526000000002,1493,0.4132618888144675,-8.695716748678104,-1014.8444000000001,-100.47347588563875,409,0.02,0.15,10,
model_prob,-1005.9488000000005,-100.59488000000005,1493,0.4132618888144675,-8.678577758061486,-1016.5406000000002,-100.64140617110637,409,0.02,0.2,10,
model_prob,-1007.3298000000004,-100.73298000000004,1493,0.4132618888144675,-8.676822105377418,-1017.9216000000001,-100.77813045139807,409,0.02,0.25,10,
model_prob,-993.2786000000007,-99.32786000000007,1428,0.4103641456582633,-8.441767869479744,-1004.3484000000004,-99.34423894486336,409,0.03,0.1,10,
model_prob,-998.2118000000007,-99.82118000000007,1428,0.4103641456582633,-8.430744558712787,-1009.6466000000005,-99.86830573959085,409,0.03,0.15,10,
model_prob,-1000.9684000000008,-100.09684000000007,1428,0.4103641456582633,-8.42578746903248,-1012.4762000000005,-100.14819313575576,409,0.03,0.2,10,
model_prob,-1001.6996000000007,-100.16996000000007,1428,0.4103641456582633,-8.428599896959428,-1013.2074000000005,-100.22051914087157,409,0.03,0.25,10,
model_prob,-988.7292000000007,-98.87292000000006,1379,0.4031907179115301,-8.358508261346467,-999.6838000000004,-98.91963403990896,409,0.04,0.1,10,
model_prob,-995.4524000000007,-99.54524000000006,1379,0.4031907179115301,-8.389007334634545,-1006.1462000000004,-99.55909448031971,409,0.04,0.15,10,
model_prob,-998.0314000000006,-99.80314000000007,1379,0.4031907179115301,-8.395591974906448,-1009.0172000000002,-99.84318257830486,409,0.04,0.2,10,
model_prob,-999.1362000000007,-99.91362000000007,1379,0.4031907179115301,-8.394301227525702,-1010.2680000000003,-99.96695039194466,409,0.04,0.25,10,
model_prob,-983.657800000001,-98.3657800000001,1340,0.39552238805970147,-8.275790322649966,-990.1842000000007,-98.45780127951454,409,0.05,0.1,10,
model_prob,-993.784800000001,-99.3784800000001,1340,0.39552238805970147,-8.359191583732414,-999.4788000000008,-99.38199889827334,409,0.05,0.15,10,
model_prob,-997.0892000000011,-99.7089200000001,1340,0.39552238805970147,-8.379402388329915,-1002.9480000000008,-99.72695471982543,409,0.05,0.2,10,
model_prob,-998.200600000001,-99.8200600000001,1340,0.39552238805970147,-8.383772418551933,-1004.2054000000009,-99.85198280988065,409,0.05,0.25,10,
