variant,model_brier,market_brier,brier_edge,total_pnl,return_pct,sharpe_ratio,win_rate,n_trades,max_drawdown,max_drawdown_pct,avg_pnl_per_trade,avg_ev_traded
U3_mlp,0.10651103490800286,0.09883887859128825,-0.007672156316714612,-372.3500000000015,-37.23500000000015,-3.2822147849472043,0.455,600,-392.2000000000015,-39.220000000000155,-0.6205833333333335,0.07114324823433997
U5_regime,0.10774989103281747,0.09883887859128825,-0.008911012441529226,-374.3000000000004,-37.43000000000004,-2.9211787391910384,0.3793103448275862,754,-396.2000000000004,-39.16567813364969,-0.49641909814323615,0.07702801942819329
U7_extended,0.10660396373051165,0.09883887859128825,-0.007765085139223402,-413.8000000000013,-41.38000000000013,-3.32387959058042,0.5054545454545455,550,-424.65000000000134,-42.46500000000014,-0.7523636363636365,0.07624013951833637
U8_cv,0.10443773402870397,0.09883887859128825,-0.0055988554374157284,-318.2000000000021,-31.82000000000021,-2.8563593380146366,0.4711111111111111,450,-322.1000000000022,-32.08486901085787,-0.7071111111111112,0.06451875193777483
U9_kitchen,0.10544287908814604,0.09883887859128825,-0.00660400049685779,-307.30000000000143,-30.73000000000014,-2.34447613043075,0.5525291828793775,514,-329.65000000000146,-32.965000000000146,-0.5978599221789884,0.07024911755370973
