date,ticker,direction_bucket,side,market_mid,u10_prob,entry_price,ev,n_contracts,cost,outcome,won,pnl,bankroll_after
2025-01-01,KXHIGHNY-25JAN01-B53.5,between,NO,0.12,0.04225923090250768,0.91,0.03774076909749225,10,9.200000000000001,0,1,0.7999999999999989,1000.8
2025-01-02,KXHIGHNY-25JAN02-T43,above,NO,0.125,0.053599302895616145,0.89,0.04640069710438389,10,9.0,0,1,1.0,1001.8
2025-01-04,KXHIGHNY-25JAN04-B31.5,between,NO,0.075,0.029466287981786733,0.9299999999999999,0.030533712018213317,10,9.399999999999999,0,1,0.6000000000000014,1002.4
2025-01-05,KXHIGHNY-25JAN05-T37,above,NO,0.095,0.04561432492532988,0.91,0.03438567507467006,10,9.200000000000001,0,1,0.7999999999999989,1003.1999999999999
2025-01-06,KXHIGHNY-25JAN06-B34.5,between,NO,0.065,0.027983969996471077,0.94,0.022016030003528926,10,9.5,0,1,0.5,1003.6999999999999
2025-01-09,KXHIGHNY-25JAN09-B30.5,between,NO,0.13,0.05330152055268095,0.9,0.03669847944731897,10,9.1,0,1,0.9000000000000004,1004.5999999999999
2025-01-13,KXHIGHNY-25JAN13-B41.5,between,NO,0.095,0.04677236491744404,0.92,0.023227635082555882,10,9.3,1,0,-9.3,995.3
2025-01-14,KXHIGHNY-25JAN14-T35,above,NO,0.11,0.04477611940298507,0.92,0.025223880597014865,10,9.3,0,1,0.6999999999999993,996.0
2025-01-21,KXHIGHNY-25JAN21-B17.5,between,NO,0.135,0.058823529411764705,0.89,0.041176470588235266,10,9.0,0,1,1.0,997.0
2025-01-22,KXHIGHNY-25JAN22-B18.5,between,NO,0.12,0.04477611940298507,0.91,0.035223880597014874,10,9.200000000000001,0,1,0.7999999999999989,997.8
2025-01-23,KXHIGHNY-25JAN23-B32.5,between,NO,0.095,0.04477611940298507,0.92,0.025223880597014865,10,9.3,0,1,0.6999999999999993,998.5
2025-01-24,KXHIGHNY-25JAN24-B29.5,between,NO,0.105,0.04477611940298507,0.92,0.025223880597014865,10,9.3,0,1,0.6999999999999993,999.2
2025-01-26,KXHIGHNY-25JAN26-B37.5,between,NO,0.075,0.026881720430107527,0.9299999999999999,0.03311827956989256,10,9.399999999999999,0,1,0.6000000000000014,999.8000000000001
2025-01-29,KXHIGHNY-25JAN29-B45.5,between,NO,0.115,0.04477611940298507,0.9,0.04522388059701488,10,9.1,0,1,0.9000000000000004,1000.7
2025-01-31,KXHIGHNY-25JAN31-B41.5,between,NO,0.115,0.04477611940298507,0.91,0.035223880597014874,10,9.200000000000001,0,1,0.7999999999999989,1001.5
2025-02-02,KXHIGHNY-25FEB02-B33.5,between,NO,0.115,0.05144314053854851,0.9,0.038556859461451494,10,9.1,0,1,0.9000000000000004,1002.4
2025-02-02,KXHIGHNY-25FEB02-T38,above,NO,0.12,0.05144314053854851,0.89,0.0485568594614515,10,9.0,0,1,1.0,1003.4
2025-02-03,KXHIGHNY-25FEB03-T49,above,NO,0.105,0.055449904865564406,0.9,0.03455009513443553,10,9.1,0,1,0.9000000000000004,1004.3
2025-02-08,KXHIGHNY-25FEB08-B32.5,between,NO,0.095,0.04477611940298507,0.92,0.025223880597014865,10,9.3,0,1,0.6999999999999993,1005.0
2025-02-10,KXHIGHNY-25FEB10-B37.5,between,NO,0.135,0.06255737085413791,0.9,0.027442629145862048,10,9.1,1,0,-9.1,995.9
2025-02-15,KXHIGHNY-25FEB15-B39.5,between,NO,0.075,0.029380815480231543,0.9299999999999999,0.030619184519768534,10,9.399999999999999,0,1,0.6000000000000014,996.5
2025-02-16,KXHIGHNY-25FEB16-T55,above,NO,0.135,0.06995332964425227,0.9,0.020046670355747705,10,9.1,0,1,0.9000000000000004,997.4
2025-02-20,KXHIGHNY-25FEB20-B26.5,between,NO,0.105,0.04623942394569178,0.9,0.04376057605430817,10,9.1,0,1,0.9000000000000004,998.3
2025-02-23,KXHIGHNY-25FEB23-T47,above,NO,0.105,0.04657038187259233,0.92,0.023429618127407632,10,9.3,0,1,0.6999999999999993,999.0
2025-02-25,KXHIGHNY-25FEB25-B50.5,between,NO,0.145,0.08684771868911195,0.88,0.023152281310888097,10,8.9,0,1,1.0999999999999996,1000.1
2025-02-26,KXHIGHNY-25FEB26-B51.5,between,NO,0.07,0.025511021566928117,0.94,0.02448897843307197,10,9.5,0,1,0.5,1000.6
2025-02-27,KXHIGHNY-25FEB27-B54.5,between,NO,0.12,0.055183767323722814,0.9,0.03481623267627721,10,9.1,1,0,-9.1,991.5
2025-03-03,KXHIGHNY-25MAR03-B35.5,between,NO,0.085,0.047734880548429906,0.92,0.022265119451570066,10,9.3,0,1,0.6999999999999993,992.2
2025-03-03,KXHIGHNY-25MAR03-T40,above,NO,0.11,0.048091111000283855,0.91,0.03190888899971612,10,9.200000000000001,0,1,0.7999999999999989,993.0
2025-03-04,KXHIGHNY-25MAR04-B49.5,between,NO,0.085,0.043725404459991256,0.92,0.026274595540008668,10,9.3,0,1,0.6999999999999993,993.7
2025-03-05,KXHIGHNY-25MAR05-B58.5,between,NO,0.11,0.048005315522970965,0.91,0.03199468447702903,10,9.200000000000001,0,1,0.7999999999999989,994.5
2025-03-07,KXHIGHNY-25MAR07-B51.5,between,NO,0.155,0.11425893498341623,0.85,0.025741065016583804,10,8.6,0,1,1.4000000000000004,995.9
2025-03-13,KXHIGHNY-25MAR13-T51,above,NO,0.09,0.045422668024292415,0.92,0.024577331975707557,10,9.3,0,1,0.6999999999999993,996.6
2025-03-15,KXHIGHNY-25MAR15-B56.5,between,NO,0.115,0.04802627560270974,0.92,0.02197372439729018,10,9.3,0,1,0.6999999999999993,997.3000000000001
