epoch,train_loss,val_loss,val_mae,lr
1,61.622356224060056,58.77356948852539,59.917598724365234,0.001
2,59.56506881713867,54.89845428466797,55.85028076171875,0.001
3,53.24589214324951,44.52111396789551,45.000919342041016,0.001
4,40.819033813476565,33.51186256408691,33.34941482543945,0.001
5,28.35579147338867,24.801163482666016,23.454057693481445,0.001
6,24.464591312408448,24.157273864746095,22.682645797729492,0.001
7,24.003857326507568,23.91836471557617,22.495141983032227,0.001
8,23.690432834625245,23.735188484191895,22.3830623626709,0.001
9,23.414111328125,23.511562538146972,22.228792190551758,0.001
10,23.15688991546631,23.191793823242186,21.94066619873047,0.001
11,22.81854829788208,22.998251342773436,21.895584106445312,0.001
12,22.46238613128662,22.593362426757814,21.56023406982422,0.001
13,22.066767406463622,22.20981502532959,21.30057716369629,0.001
14,21.602474021911622,21.684190559387208,20.891950607299805,0.001
15,20.93586645126343,21.08676471710205,20.493040084838867,0.001
16,20.192920780181886,20.37439308166504,20.00443458557129,0.001
17,19.346742248535158,19.462553215026855,19.34071922302246,0.001
18,18.240922212600708,18.288843154907227,18.50880241394043,0.001
19,16.687265491485597,16.745298004150392,17.27992820739746,0.001
20,15.11286907196045,15.26848201751709,16.29926300048828,0.001
21,13.767174482345581,13.662111473083495,14.736053466796875,0.001
22,12.446764945983887,11.997968006134034,13.083625793457031,0.001
23,10.945598936080932,9.975395965576173,10.841035842895508,0.001
24,9.378344583511353,8.494052028656006,9.257189750671387,0.001
25,7.9014629364013675,6.421763610839844,6.9262614250183105,0.001
26,6.444868063926696,5.3507732391357425,5.704168796539307,0.001
27,5.595923972129822,4.985342597961425,5.270132541656494,0.001
28,5.141682147979736,4.79516749382019,5.055152416229248,0.001
29,4.840539503097534,4.840731287002564,5.090094089508057,0.001
30,4.718644940853119,4.786129713058472,5.03763484954834,0.001
31,4.442565631866455,4.70196533203125,4.92768669128418,0.001
32,4.369853115081787,4.811539268493652,5.06154727935791,0.001
33,4.530763304233551,4.882591009140015,5.146997928619385,0.001
34,4.329872977733612,4.744177150726318,4.9914960861206055,0.001
35,4.263843357563019,4.647181177139283,4.864133358001709,0.001
36,4.268352735042572,4.638002109527588,4.857022762298584,0.001
37,4.23980872631073,4.712501335144043,4.951210975646973,0.001
38,4.227083706855774,4.643925476074219,4.868825435638428,0.001
39,4.285298538208008,4.6967956066131595,4.934580326080322,0.001
40,4.279891610145569,4.685624408721924,4.908738613128662,0.001
41,4.257234990596771,4.635957336425781,4.855008125305176,0.001
42,4.275306630134582,4.611365556716919,4.829726219177246,0.001
43,4.18702780008316,4.597332954406738,4.812050819396973,0.001
44,4.323494601249695,4.741760730743408,4.975266933441162,0.001
45,4.161699867248535,4.621162366867066,4.844837188720703,0.001
46,4.1764356851577755,4.671838808059692,4.9026288986206055,0.001
47,4.173932909965515,4.570946455001831,4.785091876983643,0.001
48,4.149380207061768,4.633108282089234,4.851253986358643,0.001
49,4.118534517288208,4.602629470825195,4.827423572540283,0.001
50,4.1380910038948056,4.59018759727478,4.804347991943359,0.001
51,4.150715351104736,4.5750514507293705,4.793651580810547,0.001
52,4.133492600917816,4.833111953735352,5.090791702270508,0.001
53,4.178547286987305,4.6049027919769285,4.812561511993408,0.001
54,4.196239995956421,4.539844560623169,4.746061325073242,0.0005
55,4.114560508728028,4.5648411273956295,4.779119968414307,0.0005
56,4.09151816368103,4.575630378723145,4.794212818145752,0.0005
57,4.089365303516388,4.530816125869751,4.74315071105957,0.0005
58,4.081555759906768,4.53010573387146,4.739358901977539,0.0005
59,4.076449561119079,4.530570936203003,4.742532253265381,0.0005
60,4.077111232280731,4.551597833633423,4.763044834136963,0.0005
61,4.091659843921661,4.554824256896973,4.761155605316162,0.0005
62,4.071276831626892,4.551203870773316,4.767948150634766,0.0005
63,4.076190483570099,4.540215301513672,4.756172180175781,0.0005
64,4.071256697177887,4.5219708442687985,4.732490062713623,0.0005
65,4.054481291770935,4.558152103424073,4.777713775634766,0.0005
66,4.063658821582794,4.574906539916992,4.794555187225342,0.0005
67,4.09825621843338,4.714235401153564,4.951226711273193,0.0005
68,4.07712334394455,4.610273313522339,4.836997032165527,0.0005
69,4.042865586280823,4.52417573928833,4.738688945770264,0.0005
70,4.048282563686371,4.657813262939453,4.889929294586182,0.0005
71,4.083875608444214,4.576695156097412,4.799881935119629,0.00025
72,4.049233865737915,4.533408117294312,4.750654697418213,0.00025
73,4.059418046474457,4.5134745121002195,4.719672679901123,0.00025
74,4.049742496013641,4.523400545120239,4.737839698791504,0.00025
75,4.0480172514915465,4.541600036621094,4.757983207702637,0.00025
76,4.028740501403808,4.5327661514282225,4.748797416687012,0.00025
77,4.042877781391144,4.510319948196411,4.719498634338379,0.00025
78,4.041558086872101,4.532932424545288,4.747624397277832,0.00025
79,4.033358609676361,4.548705244064331,4.766386032104492,0.00025
80,4.032259857654571,4.534914159774781,4.750308513641357,0.00025
81,4.0315285444259645,4.5419721603393555,4.757621765136719,0.00025
82,4.039201629161835,4.514508199691773,4.72417688369751,0.00025
83,4.031282031536103,4.572202157974243,4.795090198516846,0.00025
84,4.024944472312927,4.522273159027099,4.734402656555176,0.000125
85,4.020945250988007,4.514246940612793,4.726195812225342,0.000125
86,4.0265784740448,4.550854825973511,4.769192695617676,0.000125
87,4.031350135803223,4.537186622619629,4.752249240875244,0.000125
88,4.0222161412239075,4.516703701019287,4.730133533477783,0.000125
89,4.017171847820282,4.541396999359131,4.757974147796631,0.000125
90,4.01946588754654,4.533021068572998,4.747718811035156,6.25e-05
91,4.017749679088593,4.532132291793824,4.747312545776367,6.25e-05
92,4.020116567611694,4.52640962600708,4.73978853225708,6.25e-05
