epoch,train_loss,val_loss,val_mae,lr
1,4184.572241210937,3840.19267578125,60.16402053833008,0.001
2,3982.20419921875,3502.6341064453127,57.12594985961914,0.001
3,3404.85068359375,2683.943115234375,48.7882080078125,0.001
4,2303.2343017578123,1489.5705444335938,33.83456039428711,0.001
5,1218.666323852539,910.7494934082031,22.974946975708008,0.001
6,933.0175415039063,892.4536865234375,23.27075958251953,0.001
7,906.5877868652344,866.3256469726563,22.64398956298828,0.001
8,890.5530090332031,852.6724243164062,22.53736686706543,0.001
9,871.8077270507813,838.6356323242187,22.533491134643555,0.001
10,852.1524993896485,819.7164337158204,22.242586135864258,0.001
11,830.6708862304688,799.5796020507812,22.145620346069336,0.001
12,803.4414886474609,776.6964904785157,21.939868927001953,0.001
13,774.2258483886719,749.588134765625,21.717607498168945,0.001
14,740.8785614013672,717.7598693847656,21.378082275390625,0.001
15,702.8558929443359,684.2305389404297,21.000123977661133,0.001
16,657.3217346191407,645.859829711914,20.684972763061523,0.001
17,610.8079940795899,604.6602600097656,20.14092445373535,0.001
18,559.8868392944336,554.9745361328125,19.462566375732422,0.001
19,514.0992324829101,519.2899993896484,18.958219528198242,0.001
20,465.3586730957031,458.15867614746094,17.9852294921875,0.001
21,414.70886688232423,409.96103820800784,16.990283966064453,0.001
22,366.546923828125,353.6203811645508,15.846242904663086,0.001
23,316.21141357421874,294.65574951171874,14.398240089416504,0.001
24,270.17197494506837,250.81564636230468,13.308296203613281,0.001
25,220.92135925292968,197.70731201171876,11.749077796936035,0.001
26,179.417724609375,153.76540985107422,10.30560302734375,0.001
27,144.96824951171874,115.09542846679688,8.824613571166992,0.001
28,116.62137298583984,90.33253936767578,7.662261009216309,0.001
29,91.9974500656128,75.63905639648438,6.801069736480713,0.001
30,74.99568042755126,61.39881973266601,6.000715255737305,0.001
31,63.33001289367676,54.565617370605466,5.56667947769165,0.001
32,55.90962886810303,51.58495101928711,5.422370433807373,0.001
33,52.090339279174806,49.67353897094726,5.3258466720581055,0.001
34,49.123863792419435,48.64662322998047,5.299754619598389,0.001
35,46.7427565574646,47.65040130615235,5.2758708000183105,0.001
36,44.756129550933835,47.32593955993652,5.3045783042907715,0.001
37,44.44875869750977,47.7190616607666,5.272648811340332,0.001
38,43.39157114028931,48.47865982055664,5.295586585998535,0.001
39,41.956364727020265,45.915221786499025,5.182522773742676,0.001
40,41.31203765869141,46.048370361328125,5.1932783126831055,0.001
41,40.92403211593628,45.58808288574219,5.171206951141357,0.001
42,40.2812237739563,45.180629348754884,5.147740364074707,0.001
43,39.896710300445555,46.12422332763672,5.165277004241943,0.001
44,39.98878078460693,45.12149314880371,5.109565258026123,0.001
45,39.33475103378296,46.03321723937988,5.155899524688721,0.001
46,38.97657585144043,44.86487884521485,5.100632190704346,0.001
47,39.16312265396118,45.22615547180176,5.211751937866211,0.001
48,38.80350408554077,44.652360916137695,5.096112251281738,0.001
49,38.34426202774048,44.35459518432617,5.083213806152344,0.001
50,38.023931694030765,46.477348709106444,5.197972774505615,0.001
51,38.527449989318846,44.0680347442627,5.064499378204346,0.001
52,37.823984718322755,44.173408889770506,5.067316055297852,0.001
53,37.94429988861084,44.318963623046876,5.076064109802246,0.001
54,37.48275737762451,43.83263816833496,5.043651103973389,0.001
55,37.56592197418213,44.14384231567383,5.150003910064697,0.001
56,37.58980293273926,43.738518142700194,5.054582595825195,0.001
57,37.22959327697754,43.501122665405276,5.033966541290283,0.001
58,37.35639991760254,43.81090888977051,5.048238754272461,0.001
59,36.71223859786987,44.24013786315918,5.062132835388184,0.001
60,36.75363073348999,43.43280372619629,5.0263495445251465,0.001
61,36.49927959442139,43.351322174072266,5.02078914642334,0.001
62,37.36989002227783,44.281223678588866,5.065492630004883,0.001
63,36.235367393493654,43.20262145996094,5.012725353240967,0.001
64,36.215576171875,42.625217056274415,4.978153705596924,0.001
65,36.12503480911255,42.43549842834473,4.973308563232422,0.001
66,36.253904247283934,43.082773208618164,5.051358699798584,0.001
67,35.95620069503784,43.777151107788086,5.031252861022949,0.001
68,35.8647198677063,42.397438049316406,4.946290493011475,0.001
69,36.19041681289673,44.275624465942386,5.073409557342529,0.001
70,35.85059432983398,42.08469467163086,4.934041500091553,0.001
71,36.034145736694335,42.58203010559082,4.950671195983887,0.001
72,35.505283737182616,42.409454345703125,4.943509101867676,0.001
73,35.49655523300171,42.09811248779297,4.918717384338379,0.001
74,35.99473085403442,41.686885833740234,4.909581661224365,0.001
75,35.91675071716308,42.96122169494629,4.961668014526367,0.001
76,35.20509405136109,41.681845092773436,4.911105155944824,0.001
77,35.08501577377319,41.47626266479492,4.89015007019043,0.001
78,35.76277313232422,43.101738357543944,4.970861911773682,0.001
79,36.242768383026124,41.48684425354004,4.897520542144775,0.001
80,35.10610561370849,41.92560043334961,4.89917516708374,0.001
81,35.43979415893555,42.37484283447266,4.924914360046387,0.001
82,34.95228099822998,41.88086357116699,4.903354167938232,0.001
83,34.846982860565184,41.986066055297854,4.913357734680176,0.001
84,34.735166454315184,41.2746639251709,4.874110698699951,0.0005
85,34.436533737182614,42.24628257751465,4.922528266906738,0.0005
86,34.677635765075685,42.08948974609375,4.911510944366455,0.0005
87,34.64154586791992,41.910357284545896,4.892394065856934,0.0005
88,34.433306789398195,41.02457847595215,4.868656158447266,0.0005
89,34.42685165405273,41.146976470947266,4.8586745262146,0.0005
90,34.329875755310056,41.12772483825684,4.865471839904785,0.0005
91,34.404166507720944,40.888739013671874,4.882170677185059,0.0005
92,34.95190582275391,41.28219718933106,4.9216413497924805,0.0005
93,34.35414066314697,40.85930824279785,4.852750778198242,0.0005
94,34.62224521636963,42.32542724609375,4.916269302368164,0.0005
95,34.51908960342407,41.14724845886231,4.859947681427002,0.0005
96,34.30852165222168,42.10728378295899,4.905381679534912,0.0005
97,34.342488288879395,41.093427658081055,4.8563313484191895,0.0005
98,34.16639156341553,41.66171569824219,4.881807327270508,0.0005
99,34.06385984420776,40.85006828308106,4.850788593292236,0.0005
100,34.15610542297363,40.56672325134277,4.837039470672607,0.0005
101,34.00335922241211,40.63028678894043,4.848182678222656,0.0005
102,34.09609861373902,40.68733673095703,4.849948406219482,0.0005
103,34.07536897659302,40.90650596618652,4.846811294555664,0.0005
104,33.95910835266113,41.528953552246094,4.878473281860352,0.0005
105,34.08729543685913,42.42176818847656,4.934253215789795,0.0005
106,33.89046363830566,41.552917098999025,4.873382568359375,0.0005
107,34.05776605606079,41.717232131958006,4.881900787353516,0.00025
108,34.006340217590335,40.94144821166992,4.846151351928711,0.00025
109,33.7371148109436,41.00330772399902,4.849275588989258,0.00025
110,33.71798610687256,40.83133735656738,4.839136123657227,0.00025
111,33.696603012084964,40.544643783569335,4.831770420074463,0.00025
112,33.71256332397461,40.786716842651366,4.840748310089111,0.00025
113,33.64826612472534,40.93059730529785,4.8433756828308105,0.00025
114,33.700948810577394,40.57770919799805,4.8275885581970215,0.00025
115,33.642650318145755,40.60958404541016,4.8321533203125,0.00025
116,33.57974739074707,41.056274032592775,4.852031707763672,0.00025
117,33.746087074279785,40.62902145385742,4.8308000564575195,0.00025
118,33.73927640914917,40.56239547729492,4.82900333404541,0.000125
119,33.603941440582275,40.50617370605469,4.827630519866943,0.000125
120,33.54084119796753,40.82608489990234,4.840891361236572,0.000125
121,33.55584945678711,40.46838798522949,4.826529502868652,0.000125
122,33.47686128616333,40.87837219238281,4.839506149291992,0.000125
123,33.645915508270264,40.53321075439453,4.826376914978027,0.000125
124,33.58156242370605,40.795308685302736,4.83872652053833,0.000125
125,33.5254448890686,40.535277938842775,4.827005863189697,0.000125
126,33.50716371536255,40.671918869018555,4.831056594848633,0.000125
127,33.488110637664796,40.65697593688965,4.8310322761535645,0.000125
128,33.460855865478514,40.58919410705566,4.828567028045654,6.25e-05
129,33.47021837234497,40.487823486328125,4.8239874839782715,6.25e-05
130,33.45146627426148,40.65015907287598,4.831634521484375,6.25e-05
131,33.468208408355714,40.64493522644043,4.830000400543213,6.25e-05
132,33.47658643722534,40.52219200134277,4.824978828430176,6.25e-05
133,33.432307434082034,40.69221954345703,4.832851409912109,6.25e-05
134,33.4264594078064,40.62218399047852,4.829895496368408,3.125e-05
135,33.41158905029297,40.594620895385745,4.828582763671875,3.125e-05
136,33.44291172027588,40.64285125732422,4.830462455749512,3.125e-05
137,33.409255790710446,40.54723625183105,4.82639217376709,3.125e-05
138,33.41722707748413,40.59778099060058,4.828349590301514,3.125e-05
139,33.38626317977905,40.53981437683105,4.825928688049316,3.125e-05
140,33.42539911270141,40.57606544494629,4.827511787414551,1.5625e-05
141,33.40504865646362,40.55486526489258,4.826279640197754,1.5625e-05
142,33.401700019836426,40.59637336730957,4.828214168548584,1.5625e-05
